Cores;Input.Size;Time.MALMS.Info;Loops.MALMS.Info;Time.MALMS.NoInfo;Loops.MALMS.NoInfo;Time.MCSTL;Loops.MCSTL;Workpakets
8;100;0.003449;555769;0.003489;539328;0.019559;2101813;48
8;100;0.006954;1124497;0.010316;1826548;0.081552;8497453;48
8;100;0.002838;592950;0.005937;773378;0.069497;7293110;48
8;100;0.021214;4025393;0.012414;2245518;0.109628;12108190;48
8;100;0.00286;598896;0.009173;1616100;0.090134;9198787;48
8;100;0.010594;1895079;0.003539;570699;0.025238;3473955;48
8;100;0.003651;554922;0.008;1380358;0.078748;8860211;48
8;100;0.006015;1064204;0.002828;586508;0.14166;12718077;48
8;100;0.00925;1422676;0.002619;589508;0.098385;9985194;48
8;100;0.002044;906787;0.002898;592634;0.011744;1358028;48
8;1000;0.002653;594912;0.002678;587770;0.027303;2867937;48
8;1000;0.002823;549090;0.013076;2368147;0.081201;8335051;48
8;1000;0.01234;1732323;0.002845;591044;0.042887;4454766;48
8;1000;0.002349;591212;0.010049;1828127;0.045702;4818126;48
8;1000;0.002401;2354041;0.002688;583550;0.013976;1582999;48
8;1000;0.002791;588983;0.011011;1918527;0.050033;5205626;48
8;1000;0.010334;1596665;0.002439;588383;0.107158;10324560;48
8;1000;0.002544;591414;0.006965;1251384;0.099391;11064333;48
8;1000;0.008626;1723100;0.011113;2229126;0.072876;7534705;48
8;1000;0.00237;1043066;0.002738;590872;0.04402;4532286;48
8;10000;0.002925;594402;0.002358;638809;0.112893;11383208;48
8;10000;0.009664;1385762;0.002779;593063;0.094773;10119873;48
8;10000;0.009465;1711555;0.012953;2404587;0.051184;5422882;48
8;10000;0.007699;1357152;0.002949;629397;0.049489;4255079;48
8;10000;0.003512;554443;0.003066;596291;0.015167;1543241;48
8;10000;0.004983;803937;0.004243;613153;0.087019;9257073;48
8;10000;0.0104;1866679;0.001928;577329;0.01774;1850497;48
8;10000;0.00238;585760;0.002668;588384;0.037656;5330411;48
8;10000;0.008828;1608681;0.003778;548322;0.038724;5591581;48
8;10000;0.010106;1793711;0.005258;894155;0.062935;6442245;48
8;100000;0.011039;1811856;0.00467;789924;0.132865;12818540;48
8;100000;0.003765;1177130;0.004779;741064;0.080064;8366769;48
8;100000;0.013338;2203690;0.006917;836715;0.100453;10234882;48
8;100000;0.003605;518846;0.009499;1421273;0.063392;7286771;48
8;100000;0.012008;2003352;0.004759;809306;0.079606;7945164;48
8;100000;0.005735;777210;0.008111;1203866;0.079568;8749193;48
8;100000;0.00484;761762;0.003851;464487;0.046939;5247974;48
8;100000;0.007153;1072891;0.017645;2416650;0.087424;8857607;48
8;100000;0.007016;1011009;0.00793;1208434;0.045113;4716998;48
8;100000;0.007928;1008712;0.004768;794505;0.036221;3111842;48
8;1000000;0.025458;2141197;0.028888;2165261;0.045764;3866126;48
8;1000000;0.026;2252732;0.035963;2906438;0.119666;30184934;48
8;1000000;0.032639;3456160;0.032301;2889479;0.036372;3348383;48
8;1000000;0.026016;2255384;0.032913;2792059;0.058673;5489880;48
8;1000000;0.033129;3378480;0.024252;2130063;0.070792;6259164;48
8;1000000;0.025918;2354962;0.035409;2551449;0.161761;16785846;48
8;1000000;0.036053;3837449;0.026023;2036668;0.128861;12465940;48
8;1000000;0.031254;3028989;0.032825;2657544;0.106251;10603528;48
8;1000000;0.030748;2894497;0.032632;2397303;0.043994;5193935;48
8;1000000;0.029977;3006492;0.036313;3133776;0.136125;13353674;48
8;10000000;0.261709;21548110;0.264564;21838714;0.360358;30747962;48
8;10000000;0.269007;21578401;0.2658;66543737;0.37409;28383656;48
8;10000000;0.273764;21803865;0.249796;19455831;0.370298;30699667;48
8;10000000;0.27317;21966750;0.264856;21179519;0.381906;33196287;48
8;10000000;0.257863;21101432;0.265464;21891751;0.384449;31762953;48
8;10000000;0.260547;21810677;0.251435;19955007;0.36588;30385075;48
8;10000000;0.265694;21291039;0.271016;21196395;0.39523;33731731;48
8;10000000;0.262513;20197369;0.2612;20067503;0.395806;32531357;48
8;10000000;0.267132;20910925;0.265888;20553785;0.377785;30553768;48
8;10000000;0.25643;19931290;0.255255;19863870;0.372449;29915230;48
8;100000000;3.00161;271935049;2.92806;228400813;3.15682;269815065;48
8;100000000;2.98916;241169271;3.02259;236537754;3.16288;300730420;48
8;100000000;3.02192;229181518;2.9909;240996298;3.18516;286606171;48
8;100000000;2.99583;241848481;2.99029;241525302;3.14594;260605837;48
8;100000000;3.00606;234445421;2.99598;246639299;3.24542;272846824;48
8;100000000;3.00521;242063139;2.994;241973647;3.15112;257127259;48
8;100000000;2.99904;232872246;2.9894;242081877;3.17171;283625583;48
8;100000000;3.00377;239980611;2.97832;249439042;3.49113;297995851;48
8;100000000;2.96945;238675254;2.99182;240741191;3.31162;308665015;48
8;100000000;2.9749;238899631;3.00553;229713117;3.17536;265950959;48
