Cores;Input Size;Time;Time MCSTL;Workpakets
8;100;0.006792;0.0917;100
8;100;0.005331;0.043777;100
8;100;0.004601;0.069849;100
8;100;0.00346;0.116405;100
8;100;0.003146;0.119355;100
8;100;0.003637;0.051809;100
8;100;0.002684;0.029358;100
8;100;0.002531;0.052011;100
8;100;0.003911;0.009993;100
8;100;0.007541;0.013708;100
8;1000;0.005504;0.092066;100
8;1000;0.012422;0.027618;100
8;1000;0.002569;0.009437;100
8;1000;0.011286;0.008667;100
8;1000;0.003637;0.009933;100
8;1000;0.002431;0.042794;100
8;1000;0.002919;0.060361;100
8;1000;0.004563;0.04318;100
8;1000;0.004029;0.070439;100
8;1000;0.003135;0.017605;100
8;10000;0.008712;0.011997;100
8;10000;0.003665;0.013574;100
8;10000;0.010367;0.071493;100
8;10000;0.002594;0.015975;100
8;10000;0.008213;0.013936;100
8;10000;0.008639;0.013305;100
8;10000;0.003392;0.036321;100
8;10000;0.00319;0.119272;100
8;10000;0.010132;0.010544;100
8;10000;0.003193;0.108286;100
8;100000;0.006646;0.090527;100
8;100000;0.005261;0.102777;100
8;100000;0.005203;0.07519;100
8;100000;0.005154;0.011719;100
8;100000;0.005618;0.013926;100
8;100000;0.005731;0.090367;100
8;100000;0.006706;0.071312;100
8;100000;0.004956;0.076077;100
8;100000;0.005886;0.006358;100
8;100000;0.005346;0.104643;100
8;1000000;0.030992;0.08291;100
8;1000000;0.033498;0.092137;100
8;1000000;0.031102;0.112341;100
8;1000000;0.031895;0.129943;100
8;1000000;0.031077;0.082016;100
8;1000000;0.028845;0.123143;100
8;1000000;0.02775;0.111574;100
8;1000000;0.033954;0.137665;100
8;1000000;0.030007;0.12977;100
8;1000000;0.032099;0.105652;100
8;10000000;0.286747;0.469394;100
8;10000000;0.285203;0.424056;100
8;10000000;0.282734;0.46619;100
8;10000000;0.288211;0.403177;100
8;10000000;0.288152;0.428816;100
8;10000000;0.303205;0.396771;100
8;10000000;0.285341;0.420859;100
8;10000000;0.283789;0.393375;100
8;10000000;0.280286;0.454289;100
8;10000000;0.282755;0.363439;100
8;100000000;3.08683;3.86655;100
8;100000000;3.09628;3.48393;100
8;100000000;3.05106;3.89211;100
8;100000000;3.1134;3.46636;100
8;100000000;3.11481;3.47006;100
8;100000000;3.03675;3.64437;100
8;100000000;3.05086;3.97265;100
8;100000000;3.12356;3.53452;100
8;100000000;3.07111;3.54396;100
8;100000000;3.0859;3.51914;100
