Cores;Input Size;Time;Time MCSTL;Workpakets
8;100;0.001606;0.06701;24
8;100;0.000697;0.076819;24
8;100;0.007284;0.122438;24
8;100;0.004424;0.072754;24
8;100;0.011544;0.071279;24
8;100;0.000876;0.062834;24
8;100;0.00407;0.124567;24
8;100;0.000711;0.108555;24
8;100;0.005554;0.082807;24
8;100;0.000719;0.094546;24
8;1000;0.000934;0.103269;24
8;1000;0.005973;0.074013;24
8;1000;0.001683;0.035118;24
8;1000;0.000655;0.133774;24
8;1000;0.001549;0.119547;24
8;1000;0.008352;0.120115;24
8;1000;0.001563;0.108847;24
8;1000;0.000874;0.129398;24
8;1000;0.000833;0.106135;24
8;1000;0.016009;0.103145;24
8;10000;0.007059;0.08994;24
8;10000;0.000857;0.092368;24
8;10000;0.001919;0.058537;24
8;10000;0.000799;0.118627;24
8;10000;0.000788;0.033071;24
8;10000;0.000811;0.076644;24
8;10000;0.000843;0.079642;24
8;10000;0.000829;0.069747;24
8;10000;0.000768;0.035142;24
8;10000;0.000807;0.062779;24
8;100000;0.009269;0.079084;24
8;100000;0.011891;0.095879;24
8;100000;0.003537;0.079768;24
8;100000;0.01088;0.061728;24
8;100000;0.003529;0.022309;24
8;100000;0.011075;0.033068;24
8;100000;0.007647;0.026641;24
8;100000;0.003339;0.030368;24
8;100000;0.007052;0.037293;24
8;100000;0.010351;0.046486;24
8;1000000;0.035677;0.087321;24
8;1000000;0.02986;0.086372;24
8;1000000;0.02697;0.046434;24
8;1000000;0.0291;0.060082;24
8;1000000;0.027706;0.077873;24
8;1000000;0.030334;0.099244;24
8;1000000;0.028651;0.086882;24
8;1000000;0.034277;0.105366;24
8;1000000;0.027792;0.111953;24
8;1000000;0.030025;0.122868;24
8;10000000;0.278326;0.405877;24
8;10000000;0.273392;0.367726;24
8;10000000;0.322016;0.391951;24
8;10000000;0.265646;0.435167;24
8;10000000;0.278782;0.387092;24
8;10000000;0.278594;0.407163;24
8;10000000;0.291589;0.430993;24
8;10000000;0.281955;0.408315;24
8;10000000;0.294815;0.411477;24
8;10000000;0.263762;0.437078;24
8;100000000;2.96121;3.27273;24
8;100000000;2.96748;3.14729;24
8;100000000;3.16395;3.18058;24
8;100000000;2.95123;3.56312;24
8;100000000;2.95048;3.16604;24
8;100000000;2.97429;3.29485;24
8;100000000;3.09201;3.60467;24
8;100000000;2.95223;3.15021;24
8;100000000;2.94594;3.1434;24
8;100000000;2.96622;3.22642;24
