Blocked.Cores;Cores;Input Size;Time;Time MCSTL;Workpakets
0;8;100;0.0045;0.00052;100
0;8;100;0.003895;0.000452;100
0;8;100;0.003557;0.000468;100
0;8;100;0.004069;0.00044;100
0;8;100;0.003111;0.000416;100
0;8;100;0.00403;0.000439;100
0;8;100;0.003671;0.000473;100
0;8;100;0.003419;0.000485;100
0;8;100;0.003424;0.000457;100
0;8;100;0.003475;0.000453;100
0;8;100;0.00387;0.000435;100
0;8;100;0.00329;0.00045;100
0;8;100;0.00319;0.000482;100
0;8;100;0.003894;0.000429;100
0;8;100;0.003882;0.000462;100
0;8;100;0.004277;0.000463;100
0;8;100;0.003606;0.000467;100
0;8;100;0.003508;0.000457;100
0;8;100;0.003466;0.000419;100
0;8;100;0.003584;0.000444;100
0;8;100;0.003362;0.00042;100
0;8;100;0.003134;0.00047;100
0;8;100;0.004022;0.000455;100
0;8;100;0.003669;0.000446;100
0;8;100;0.003583;0.00049;100
0;8;100;0.003848;0.000434;100
0;8;100;0.00396;0.000458;100
0;8;100;0.003796;0.000467;100
0;8;100;0.003983;0.000477;100
0;8;100;0.00363;0.001521;100
0;8;100;0.003497;0.000453;100
0;8;100;0.003284;0.000468;100
0;8;100;0.003541;0.000482;100
0;8;100;0.003785;0.000437;100
0;8;100;0.003358;0.00043;100
0;8;100;0.003002;0.000477;100
0;8;100;0.00346;0.000414;100
0;8;100;0.003548;0.00048;100
0;8;100;0.003396;0.000383;100
0;8;100;0.003949;0.000427;100
0;8;100;0.003331;0.000448;100
0;8;100;0.003222;0.000405;100
0;8;100;0.003573;0.000453;100
0;8;100;0.003724;0.000435;100
0;8;100;0.003512;0.000429;100
0;8;100;0.003711;0.000462;100
0;8;100;0.003899;0.000482;100
0;8;100;0.003843;0.000423;100
0;8;100;0.003547;0.000487;100
0;8;100;0.003825;0.000447;100
1;8;100;0.005622;0.000455;100
1;8;100;0.003301;0.000442;100
1;8;100;0.003777;0.000437;100
1;8;100;0.003358;0.000429;100
1;8;100;0.003495;0.000433;100
1;8;100;0.003591;0.000414;100
1;8;100;0.003526;0.00046;100
1;8;100;0.002918;0.000431;100
1;8;100;0.003432;0.000434;100
1;8;100;0.00372;0.000446;100
1;8;100;0.003937;0.000444;100
1;8;100;0.003688;0.00046;100
1;8;100;0.003943;0.000439;100
1;8;100;0.003641;0.000391;100
1;8;100;0.00353;0.000392;100
1;8;100;0.003625;0.000438;100
1;8;100;0.003697;0.00037;100
1;8;100;0.003001;0.000462;100
1;8;100;0.002792;0.000431;100
1;8;100;0.003435;0.00044;100
1;8;100;0.003325;0.000442;100
1;8;100;0.003312;0.000447;100
1;8;100;0.00364;0.000431;100
1;8;100;0.00367;0.000378;100
1;8;100;0.003657;0.000427;100
1;8;100;0.003187;0.000458;100
1;8;100;0.003226;0.000424;100
1;8;100;0.003287;0.000412;100
1;8;100;0.00375;0.000424;100
1;8;100;0.003635;0.000493;100
1;8;100;0.003314;0.000453;100
1;8;100;0.003519;0.000376;100
1;8;100;0.003148;0.000476;100
1;8;100;0.00355;0.000388;100
1;8;100;0.002972;0.00046;100
1;8;100;0.003302;0.000408;100
1;8;100;0.003318;0.000461;100
1;8;100;0.003117;0.000432;100
1;8;100;0.003547;0.000427;100
1;8;100;0.003424;0.000455;100
1;8;100;0.00308;0.00043;100
1;8;100;0.003427;0.000465;100
1;8;100;0.003259;0.000406;100
1;8;100;0.003154;0.000465;100
1;8;100;0.003644;0.00047;100
1;8;100;0.003495;0.000439;100
1;8;100;0.002851;0.000433;100
1;8;100;0.003663;0.000417;100
1;8;100;0.003218;0.00045;100
1;8;100;0.003838;0.000425;100
2;8;100;0.002819;0.000465;100
2;8;100;0.003378;0.000425;100
2;8;100;0.003068;0.000453;100
2;8;100;0.002771;0.000456;100
2;8;100;0.003237;0.000456;100
2;8;100;0.002905;0.000479;100
2;8;100;0.003057;0.000476;100
2;8;100;0.002758;0.000403;100
2;8;100;0.003475;0.00044;100
