Cores;Input.Size;Time.MALMS;Time.MCSTL;Time.STDSORT;Workpakets
8;100;0.000993;0.000496;1.8e-05;8
8;100;0.001035;0.000431;1.7e-05;8
8;100;0.000974;0.00046;1.7e-05;8
8;100;0.000972;0.000457;1.8e-05;8
8;100;0.000957;0.000424;1.8e-05;8
8;100;0.000886;0.000475;1.8e-05;8
8;100;0.001046;0.000473;1.6e-05;8
8;100;0.000991;0.000408;1.7e-05;8
8;100;0.000974;0.000462;1.7e-05;8
8;100;0.000985;0.000441;1.7e-05;8
8;100;0.000993;0.000445;1.8e-05;8
8;100;0.001044;0.00049;1.7e-05;8
8;100;0.001037;0.000453;1.6e-05;8
8;100;0.000982;0.000477;1.8e-05;8
8;100;0.001029;0.000463;1.7e-05;8
8;100;0.001054;0.000459;1.7e-05;8
8;100;0.000966;0.000448;1.7e-05;8
8;100;0.000925;0.000514;1.8e-05;8
8;100;0.001257;0.000442;1.7e-05;8
8;100;0.000988;0.000456;1.8e-05;8
8;100;0.000979;0.00045;1.7e-05;8
8;100;0.000937;0.000423;1.7e-05;8
8;100;0.001009;0.000468;1.8e-05;8
8;100;0.001028;0.00048;1.7e-05;8
8;100;0.000977;0.000406;2e-05;8
8;100;0.001074;0.000456;1.7e-05;8
8;100;0.000966;0.000461;1.7e-05;8
8;100;0.000998;0.000438;1.7e-05;8
8;100;0.001018;0.000446;1.7e-05;8
8;100;0.000968;0.000502;1.7e-05;8
8;100;0.00107;0.000431;1.7e-05;8
8;100;0.000977;0.000466;1.7e-05;8
8;100;0.000987;0.000472;1.8e-05;8
8;100;0.000987;0.000439;1.7e-05;8
8;100;0.001013;0.000433;1.8e-05;8
8;100;0.000985;0.000411;1.7e-05;8
8;100;0.000967;0.00044;1.7e-05;8
8;100;0.000988;0.000486;1.7e-05;8
8;100;0.000964;0.000453;1.6e-05;8
8;100;0.001022;0.000462;1.7e-05;8
8;100;0.001047;0.000433;1.6e-05;8
8;100;0.000919;0.000435;1.7e-05;8
8;100;0.000915;0.00043;1.7e-05;8
8;100;0.001004;0.000484;1.7e-05;8
8;100;0.000987;0.000421;1.7e-05;8
8;100;0.001039;0.000492;1.6e-05;8
8;100;0.001014;0.000459;1.7e-05;8
8;100;0.000949;0.000446;1.8e-05;8
8;100;0.000983;0.000419;1.8e-05;8
8;100;0.000995;0.000464;1.7e-05;8
8;1000;0.000934;0.000476;6.2e-05;8
8;1000;0.000876;0.000474;6.2e-05;8
8;1000;0.000947;0.000508;6.2e-05;8
8;1000;0.000942;0.000496;6.3e-05;8
8;1000;0.000911;0.00053;6.2e-05;8
8;1000;0.001031;0.000489;6.3e-05;8
8;1000;0.000947;0.000441;6.3e-05;8
8;1000;0.000999;0.000493;6.1e-05;8
8;1000;0.001025;0.000496;6.3e-05;8
8;1000;0.000978;0.000484;6.2e-05;8
8;1000;0.00096;0.000478;6.2e-05;8
8;1000;0.00094;0.000508;6.1e-05;8
8;1000;0.000968;0.0005;6.2e-05;8
8;1000;0.000919;0.000472;6.3e-05;8
8;1000;0.001017;0.002151;6.2e-05;8
8;1000;0.00098;0.000505;6.2e-05;8
8;1000;0.001015;0.000511;6.1e-05;8
8;1000;0.000972;0.000506;6.2e-05;8
8;1000;0.000987;0.000498;6.3e-05;8
8;1000;0.00098;0.000488;6.2e-05;8
8;1000;0.000953;0.000484;6.1e-05;8
8;1000;0.001011;0.000446;6.3e-05;8
8;1000;0.001019;0.00048;6.3e-05;8
8;1000;0.00092;0.000473;6.2e-05;8
8;1000;0.000974;0.000501;6.3e-05;8
8;1000;0.001088;0.000462;6.1e-05;8
8;1000;0.000958;0.000477;6.2e-05;8
8;1000;0.000929;0.000441;6.2e-05;8
8;1000;0.001021;0.000457;6.2e-05;8
8;1000;0.000934;0.00047;6.2e-05;8
8;1000;0.000987;0.000474;6.2e-05;8
8;1000;0.001005;0.000458;6.2e-05;8
8;1000;0.000995;0.000466;6.2e-05;8
8;1000;0.000998;0.000457;6.1e-05;8
8;1000;0.000994;0.00048;6.2e-05;8
8;1000;0.000942;0.000499;6.2e-05;8
8;1000;0.001012;0.000464;6.1e-05;8
8;1000;0.000936;0.000512;6.3e-05;8
8;1000;0.000954;0.000513;6.3e-05;8
8;1000;0.00097;0.000539;6.3e-05;8
8;1000;0.001041;0.000466;6.2e-05;8
8;1000;0.000996;0.000501;6.2e-05;8
8;1000;0.000965;0.00048;6.2e-05;8
8;1000;0.000958;0.000486;6.1e-05;8
8;1000;0.000968;0.000483;6.3e-05;8
8;1000;0.000923;0.000489;6.2e-05;8
8;1000;0.000976;0.000473;6.2e-05;8
8;1000;0.001048;0.000495;6.3e-05;8
8;1000;0.000958;0.000484;6.2e-05;8
8;1000;0.000965;0.000449;6.3e-05;8
8;10000;0.001131;0.00061;0.000662;8
8;10000;0.001128;0.000673;0.000663;8
8;10000;0.001153;0.000679;0.000662;8
8;10000;0.001146;0.000677;0.000665;8
8;10000;0.001053;0.000625;0.000663;8
8;10000;0.001147;0.000655;0.000663;8
8;10000;0.001081;0.000652;0.000663;8
8;10000;0.00101;0.000648;0.000696;8
8;10000;0.000999;0.000617;0.000662;8
8;10000;0.001061;0.000609;0.000664;8
8;10000;0.001044;0.000715;0.000664;8
8;10000;0.001097;0.000638;0.000663;8
8;10000;0.001076;0.000633;0.000664;8
8;10000;0.001165;0.000643;0.000663;8
8;10000;0.001049;0.000635;0.000664;8
8;10000;0.001113;0.020608;0.000662;8
8;10000;0.001176;0.000648;0.000662;8
8;10000;0.001088;0.000644;0.000664;8
8;10000;0.001099;0.000637;0.000663;8
8;10000;0.001049;0.000617;0.000662;8
8;10000;0.001023;0.000642;0.000662;8
8;10000;0.001135;0.000653;0.000663;8
8;10000;0.001177;0.000661;0.000661;8
8;10000;0.001037;0.000657;0.000662;8
8;10000;0.00104;0.000646;0.000663;8
8;10000;0.001163;0.000634;0.000663;8
8;10000;0.001069;0.00066;0.000663;8
8;10000;0.001034;0.000644;0.000662;8
8;10000;0.00102;0.000616;0.000663;8
8;10000;0.001088;0.000636;0.000662;8
8;10000;0.001087;0.000603;0.000675;8
8;10000;0.001168;0.000626;0.000683;8
8;10000;0.001032;0.00064;0.000663;8
8;10000;0.001037;0.000601;0.000662;8
8;10000;0.001116;0.000667;0.000664;8
8;10000;0.001003;0.000676;0.000663;8
8;10000;0.001024;0.000607;0.000663;8
8;10000;0.001023;0.000698;0.000663;8
8;10000;0.001195;0.000646;0.000663;8
8;10000;0.001132;0.000607;0.000663;8
8;10000;0.001096;0.000628;0.000663;8
8;10000;0.001081;0.000648;0.000662;8
8;10000;0.001053;0.000645;0.000662;8
8;10000;0.001128;0.000669;0.000662;8
8;10000;0.001052;0.000625;0.000665;8
8;10000;0.001072;0.000604;0.000662;8
8;10000;0.001139;0.000677;0.000662;8
8;10000;0.001045;0.000643;0.000663;8
8;10000;0.001145;0.00065;0.000662;8
8;10000;0.001052;0.000659;0.000664;8
8;100000;0.002552;0.002022;0.008019;8
8;100000;0.004099;0.002081;0.008011;8
8;100000;0.00245;0.002281;0.008015;8
8;100000;0.00247;0.001999;0.008005;8
8;100000;0.002657;0.002609;0.008006;8
8;100000;0.002494;0.001991;0.008014;8
8;100000;0.00304;0.002057;0.008011;8
8;100000;0.002445;0.002036;0.008011;8
8;100000;0.002467;0.002009;0.008033;8
8;100000;0.002733;0.002108;0.008003;8
8;100000;0.002539;0.002236;0.008013;8
8;100000;0.002472;0.0021;0.00801;8
8;100000;0.002482;0.002434;0.008009;8
8;100000;0.002436;0.002686;0.008012;8
8;100000;0.002986;0.002082;0.00801;8
