Cores;Input.Size;Time.MALMS.Info;Loops.MALMS.Info;Time.MALMS.NoInfo;Loops.MALMS.NoInfo;Time.MCSTL;Loops.MCSTL;Workpakets
8;100;0.004861;832434;0.009146;1688464;0.05181;4017639;24
8;100;0.001821;232671;0.00205;260536;0.059874;4929592;24
8;100;0.001486;180797;0.003694;630463;0.042108;3385201;24
8;100;0.001471;185552;0.001357;221239;0.058389;4776131;24
8;100;0.007556;996044;0.001598;225653;0.110133;9161685;24
8;100;0.001497;187234;0.001625;216226;0.103656;8197706;24
8;100;0.001687;227842;0.002067;261317;0.069693;5679429;24
8;100;0.002138;260108;0.008091;1417939;0.04512;3544250;24
8;100;0.001524;179408;0.001322;197887;0.098333;7674062;24
8;100;0.001403;202884;0.001857;219108;0.090225;7342773;24
8;1000;0.003883;655644;0.011407;2135491;0.071893;5823181;24
8;1000;0.002016;229714;0.008247;1478907;0.06548;5113235;24
8;1000;0.001833;229214;0.001218;216471;0.098482;7948835;24
8;1000;0.00169;219516;0.008578;1539064;0.082306;7335342;24
8;1000;0.002062;266221;0.009458;1650252;0.082035;6489337;24
8;1000;0.002143;261768;0.001282;234796;0.06113;4944090;24
8;1000;0.001971;232943;0.001261;268654;0.039768;3268026;24
8;1000;0.001936;230411;0.006709;1198999;0.060262;5997407;24
8;1000;0.00127;222993;0.00145;210834;0.101819;10362021;24
8;1000;0.001184;210384;0.007234;966121;0.113267;13168830;24
8;10000;0.005422;951682;0.011318;2027381;0.054404;6937974;24
8;10000;0.001323;278804;0.001291;229438;0.062077;5067353;24
8;10000;0.001668;238846;0.001425;210042;0.010476;2004628;24
8;10000;0.001349;241071;0.001722;256285;0.110558;8800762;24
8;10000;0.001307;176793;0.001458;243667;0.056211;6613441;24
8;10000;0.001469;228416;0.001446;2105177;0.063142;8487545;24
8;10000;0.008193;1462842;0.002478;290748;0.042242;3755078;24
8;10000;0.001447;262090;0.001361;261135;0.06117;4718728;24
8;10000;0.001771;263203;0.008122;1477209;0.034078;4559328;24
8;10000;0.001311;238547;0.001379;258686;0.040426;3303086;24
8;100000;0.006481;870804;0.009224;1318358;0.118965;9205424;24
8;100000;0.004101;409810;0.007914;1126011;0.048064;5662586;24
8;100000;0.003446;325930;0.00433;537861;0.111227;8416534;24
8;100000;0.003674;348950;0.003485;308955;0.121046;9762190;24
8;100000;0.003464;341087;0.009868;1485964;0.051228;5306088;24
8;100000;0.003437;348763;0.003329;288627;0.120889;9353149;24
8;100000;0.003532;336349;0.003732;488086;0.103831;11495447;24
8;100000;0.010009;1573262;0.011548;1840578;0.051136;5282259;24
8;100000;0.003703;369030;0.00592;728124;0.080188;7422470;24
8;100000;0.010163;1163420;0.003225;280072;0.074637;7733500;24
8;1000000;0.030368;2217777;0.026371;1980827;0.070833;5103574;24
8;1000000;0.028747;2043669;0.027358;1846271;0.120164;9394354;24
8;1000000;0.026532;1938419;0.02684;1811494;0.080462;6272537;24
8;1000000;0.028428;2025105;0.026427;1879291;0.118813;8264788;24
8;1000000;0.035823;3136957;0.030178;2467950;0.064606;5217692;24
8;1000000;0.026656;1953338;0.026474;1810675;0.101519;7007265;24
8;1000000;0.038078;3139803;0.026827;1844446;0.05784;3429331;24
8;1000000;0.026957;1952406;0.026401;1885315;0.069802;5079204;24
8;1000000;0.029919;2091640;0.026339;1889789;0.085849;6602893;24
8;1000000;0.032304;2391423;0.029875;2556232;0.074769;4521401;24
8;10000000;0.273411;31416126;0.265731;20926344;0.415797;33630648;24
8;10000000;0.290825;20869315;0.276365;21687648;0.454754;41515167;24
8;10000000;0.285498;21105593;0.272863;21430554;0.375006;35815851;24
8;10000000;0.291813;21624648;0.259683;21656455;0.409483;39011712;24
8;10000000;0.265148;20488249;0.291162;22834314;0.411492;32973140;24
8;10000000;0.263894;20035478;0.271616;21097086;0.408268;39741754;24
8;10000000;0.28737;22094073;0.284048;23788482;0.366492;27628920;24
8;10000000;0.270423;20140054;0.290143;22337780;0.399666;31925748;24
8;10000000;0.276263;20819024;0.29141;22327757;0.386578;31217631;24
8;10000000;0.261812;20487301;0.273553;21614598;0.439695;39633341;24
8;100000000;2.98905;234460020;3.06432;276778406;3.64348;304090957;24
8;100000000;3.02295;242201212;2.96962;241135613;3.93356;339951344;24
8;100000000;3.05255;244039252;2.9674;240129986;3.24755;303321187;24
8;100000000;2.96571;237137406;2.96778;240952685;3.30797;282142334;24
8;100000000;2.97699;238046375;2.99621;244342523;3.27512;278454140;24
8;100000000;2.94678;235935678;2.99366;244811631;3.35012;288225026;24
8;100000000;3.07729;246559075;2.97494;240725832;3.27802;273839474;24
8;100000000;2.93444;234046327;2.96595;239379647;3.39926;284727798;24
8;100000000;2.9339;234880399;2.96151;238084018;3.76104;319073815;24
8;100000000;3.05838;244587898;2.96225;237486234;3.59158;295256456;24
