Cores;Input Size;Time;Time MCSTL;Workpakets
8;100;0.001399;0.108446;48
8;100;0.009925;0.090826;48
8;100;0.001389;0.112476;48
8;100;0.003236;0.098716;48
8;100;0.001198;0.100987;48
8;100;0.001532;0.099349;48
8;100;0.001423;0.111262;48
8;100;0.007506;0.09138;48
8;100;0.001733;0.099059;48
8;100;0.004314;0.109679;48
8;1000;0.013505;0.094248;48
8;1000;0.00219;0.069317;48
8;1000;0.001607;0.118893;48
8;1000;0.000978;0.069455;48
8;1000;0.003047;0.109251;48
8;1000;0.000989;0.10907;48
8;1000;0.001486;0.080827;48
8;1000;0.001599;0.107617;48
8;1000;0.002248;0.101672;48
8;1000;0.002567;0.117716;48
8;10000;0.005713;0.120545;48
8;10000;0.001596;0.091917;48
8;10000;0.002707;0.030076;48
8;10000;0.00226;0.089132;48
8;10000;0.001634;0.082151;48
8;10000;0.00178;0.101085;48
8;10000;0.004041;0.009076;48
8;10000;0.002192;0.119887;48
8;10000;0.002049;0.128407;48
8;10000;0.002116;0.0989;48
8;100000;0.003586;0.068618;48
8;100000;0.005677;0.083037;48
8;100000;0.004064;0.104949;48
8;100000;0.004677;0.107896;48
8;100000;0.004006;0.034171;48
8;100000;0.006537;0.10742;48
8;100000;0.004718;0.017267;48
8;100000;0.003986;0.034362;48
8;100000;0.00383;0.083846;48
8;100000;0.004095;0.019196;48
8;1000000;0.032198;0.124318;48
8;1000000;0.028696;0.108003;48
8;1000000;0.027991;0.109667;48
8;1000000;0.029373;0.097981;48
8;1000000;0.028274;0.081036;48
8;1000000;0.030394;0.049035;48
8;1000000;0.031475;0.043857;48
8;1000000;0.028732;0.079818;48
8;1000000;0.02752;0.033237;48
8;1000000;0.026176;0.085602;48
8;10000000;0.305107;0.429042;48
8;10000000;0.290357;0.416608;48
8;10000000;0.303645;0.389532;48
8;10000000;0.29167;0.432857;48
8;10000000;0.283102;0.483196;48
8;10000000;0.30503;0.431463;48
8;10000000;0.27797;0.441683;48
8;10000000;0.281863;0.433064;48
8;10000000;0.282569;0.455946;48
8;10000000;0.284605;0.417342;48
8;100000000;3.06933;3.50097;48
8;100000000;3.08377;3.31219;48
8;100000000;2.99033;3.6713;48
8;100000000;3.10313;3.72237;48
8;100000000;3.04451;3.55993;48
8;100000000;3.164;3.85066;48
8;100000000;3.08251;3.49543;48
8;100000000;2.99816;3.6259;48
8;100000000;2.98417;3.76531;48
8;100000000;2.96893;3.65508;48
