Cores;Input Size;Time;Time MCSTL;Workpakets
8;100;0.001563;0.11083;48
8;100;0.002193;0.109143;48
8;100;0.001106;0.06079;48
8;100;0.001047;0.060434;48
8;100;0.001242;0.001032;48
8;100;0.008627;0.044672;48
8;100;0.001716;0.048993;48
8;100;0.001508;0.069589;48
8;100;0.001272;0.089779;48
8;100;0.009016;0.062833;48
8;1000;0.015173;0.102004;48
8;1000;0.002305;0.088701;48
8;1000;0.001929;0.05;48
8;1000;0.008748;0.102411;48
8;1000;0.010218;0.033013;48
8;1000;0.001773;0.088793;48
8;1000;0.001568;0.02126;48
8;1000;0.001356;0.041478;48
8;1000;0.001628;0.109496;48
8;1000;0.001856;0.099754;48
8;10000;0.003129;0.088704;48
8;10000;0.001259;0.062207;48
8;10000;0.001701;0.108621;48
8;10000;0.001847;0.089469;48
8;10000;0.002132;0.020595;48
8;10000;0.001604;0.04497;48
8;10000;0.008002;0.112484;48
8;10000;0.009077;0.102326;48
8;10000;0.001558;0.050486;48
8;10000;0.002133;0.051764;48
8;100000;0.003639;0.080971;48
8;100000;0.003763;0.064637;48
8;100000;0.004295;0.105712;48
8;100000;0.004297;0.053124;48
8;100000;0.004001;0.051138;48
8;100000;0.003701;0.072567;48
8;100000;0.003923;0.106157;48
8;100000;0.003613;0.115565;48
8;100000;0.00396;0.050593;48
8;100000;0.003727;0.02842;48
8;1000000;0.033285;0.156892;48
8;1000000;0.02756;0.133082;48
8;1000000;0.027756;0.121563;48
8;1000000;0.028885;0.099914;48
8;1000000;0.040306;0.133151;48
8;1000000;0.02712;0.107584;48
8;1000000;0.032515;0.078624;48
8;1000000;0.027022;0.154279;48
8;1000000;0.028202;0.092706;48
8;1000000;0.026349;0.112516;48
8;10000000;0.306039;0.482751;48
8;10000000;0.292899;0.398828;48
8;10000000;0.293077;0.494562;48
8;10000000;0.297201;0.386347;48
8;10000000;0.288822;0.415294;48
8;10000000;0.299118;0.438349;48
8;10000000;0.289997;0.480437;48
8;10000000;0.297172;0.378892;48
8;10000000;0.29992;0.396425;48
8;10000000;0.294137;0.413081;48
8;100000000;3.28179;3.73125;48
8;100000000;3.0129;3.59743;48
8;100000000;2.98287;3.64173;48
8;100000000;3.04603;3.89044;48
8;100000000;3.04552;3.61448;48
8;100000000;3.07642;3.64175;48
8;100000000;3.09199;3.63274;48
8;100000000;2.97652;3.76981;48
8;100000000;3.07039;3.82227;48
8;100000000;3.0676;3.58631;48
