Cores;Input.Size;Time.MALMS.Info;Loops.MALMS.Info;Time.MALMS.NoInfo;Loops.MALMS.NoInfo;Time.MCSTL;Loops.MCSTL;Workpakets
8;100;0.003203;1789611;0.003828;464891;0.067962;5155548;100
8;100;0.003168;389150;0.01113;1755374;0.04175;4428316;100
8;100;0.004364;488461;0.003451;460387;0.123269;10012508;100
8;100;0.003575;398112;0.003866;460166;0.106692;8813054;100
8;100;0.004447;486149;0.007828;1101229;0.081297;9338514;100
8;100;0.005551;845144;0.00371;453486;0.075803;7978776;100
8;100;0.003105;436430;0.012506;2014839;0.057889;7120881;100
8;100;0.004563;504946;0.008542;1371211;0.065107;7716596;100
8;100;0.0119;2077261;0.011852;2001153;0.058829;5916104;100
8;100;0.005111;576148;0.003407;414530;0.058678;4768084;100
8;1000;0.005733;815890;0.00817;1066161;0.059443;4787136;100
8;1000;0.003382;343804;0.003458;454481;0.087956;7043198;100
8;1000;0.003791;410696;0.004082;510189;0.114384;11580834;100
8;1000;0.010008;1684214;0.003713;473194;0.039902;5085699;100
8;1000;0.003121;382093;0.007537;1098324;0.081126;9303802;100
8;1000;0.005846;859064;0.003384;442641;0.040249;3426418;100
8;1000;0.003559;397322;0.003634;424314;0.110073;10182481;100
8;1000;0.005727;650996;0.004257;484740;0.106433;8730661;100
8;1000;0.009317;1560794;0.012837;2025540;0.043073;3449877;100
8;1000;0.00486;521131;0.005808;784099;0.061166;4912106;100
8;10000;0.010977;1770189;0.003739;430850;0.05586;5476229;100
8;10000;0.013248;2289075;0.003423;428461;0.059974;4841033;100
8;10000;0.003802;394789;0.003745;393206;0.123596;9811794;100
8;10000;0.003591;431619;0.00757;1135418;0.10056;9036243;100
8;10000;0.008668;1037642;0.013802;2222081;0.080213;6255977;100
8;10000;0.003867;417876;0.008708;1338326;0.081298;8336340;100
8;10000;0.009657;1544059;0.010487;1259469;0.082287;6589361;100
8;10000;0.003221;433969;0.007873;1106907;0.037305;4053894;100
8;10000;0.003682;471608;0.010446;1553995;0.018849;2589873;100
8;10000;0.011439;1974918;0.003463;1765789;0.015943;2555226;100
8;100000;0.005405;547630;0.009797;1246987;0.028759;3546735;100
8;100000;0.013744;2088574;0.005108;463464;0.058953;5057130;100
8;100000;0.005439;549265;0.011162;1525913;0.027979;3870593;100
8;100000;0.005756;714443;0.005092;350715;0.010892;1745867;100
8;100000;0.009078;1237641;0.005411;451739;0.033069;2935781;100
8;100000;0.011436;1663107;0.011575;1268477;0.028132;3952169;100
8;100000;0.010385;1510747;0.011353;1540351;0.053766;4481864;100
8;100000;0.005529;502736;0.010285;1347570;0.027036;3792809;100
8;100000;0.011653;1677269;0.005243;471749;0.058001;4887413;100
8;100000;0.00548;545444;0.004951;393178;0.069269;5558880;100
8;1000000;0.028539;2137145;0.02719;1871268;0.086783;6705803;100
8;1000000;0.033339;3060127;0.026878;1823291;0.065248;5064404;100
8;1000000;0.03397;2995366;0.02923;1974878;0.058966;5453117;100
8;1000000;0.027696;2192741;0.028636;2011855;0.041472;3811374;100
8;1000000;0.02917;2259960;0.030877;2240584;0.038857;3314293;100
8;1000000;0.026813;2024357;0.027297;1799965;0.06565;4737204;100
8;1000000;0.02712;1959422;0.027691;1968375;0.036682;3286119;100
8;1000000;0.035821;3303789;0.025773;1529534;0.050959;2961186;100
8;1000000;0.028279;2086666;0.029783;1838488;0.065409;4706010;100
8;1000000;0.029692;2209337;0.027211;1657059;0.095417;7623129;100
8;10000000;0.278781;25285327;0.265233;20756306;0.396188;32313702;100
8;10000000;0.26453;20622028;0.25818;20392613;0.407084;70358105;100
8;10000000;0.2655;20794780;0.258014;20535152;0.364079;28932526;100
8;10000000;0.25891;20142272;0.269917;21286510;0.426868;33333605;100
8;10000000;0.263938;20919189;0.254283;19722518;0.384295;33721738;100
8;10000000;0.264873;21129606;0.254211;19914299;0.366242;28849477;100
8;10000000;0.272881;21611598;0.261555;20439197;0.405615;31953800;100
8;10000000;0.267378;20315939;0.262761;20832120;0.402452;32200065;100
8;10000000;0.266883;20874274;0.258396;20385129;0.37954;35089032;100
8;10000000;0.266653;20992036;0.257381;20246484;0.399331;31451153;100
8;100000000;2.87474;263979276;2.77266;224690643;3.42953;306821505;100
8;100000000;2.85007;229994879;2.86852;232695130;3.71728;307531103;100
8;100000000;2.78905;212981110;2.8476;230442068;3.42296;301518553;100
8;100000000;2.81828;219708729;2.80252;226359088;3.59866;315827998;100
8;100000000;2.81777;220851137;2.85745;230724482;3.57516;323541884;100
8;100000000;2.88225;232320788;2.86172;233940592;3.74643;315424485;100
8;100000000;2.84193;216489330;2.83164;228087175;3.35572;317302979;100
8;100000000;2.756;211604920;2.8329;229336772;3.9624;354253732;100
8;100000000;2.87307;227808954;2.84343;230568435;4.07456;350831605;100
8;100000000;2.82944;221302774;2.85798;232023388;3.96463;334321456;100
