Cores;Input.Size;Time.MALMS.Info;Loops.MALMS.Info;Time.MALMS.NoInfo;Loops.MALMS.NoInfo;Time.MCSTL;Loops.MCSTL;Workpakets
8;100;0.006515;983932;0.001522;489786;0.066637;5640274;24
8;100;0.001333;559591;0.00219;557289;0.105462;8413222;24
8;100;0.003307;703632;0.002214;556934;0.124427;10626501;24
8;100;0.001154;1174965;0.001546;1597023;0.020142;2010398;24
8;100;0.006706;986364;0.004385;699963;0.018021;2030194;24
8;100;0.002124;561849;0.001416;489446;0.026478;2871239;24
8;100;0.003281;699025;0.002082;559560;0.038354;4000030;24
8;100;0.001314;559511;0.003435;698521;0.075032;5908230;24
8;100;0.004609;700055;0.001325;557762;0.028613;2849610;24
8;100;0.00136;561048;0.001431;1458710;0.022256;2454650;24
8;1000;0.001414;483615;0.001464;486151;0.068688;7225449;24
8;1000;0.002308;562327;0.006488;979595;0.028623;2925399;24
8;1000;0.004498;702794;0.001504;558473;0.049712;5147403;24
8;1000;0.003423;703526;0.004675;700363;0.04867;5119694;24
8;1000;0.001186;559819;0.010305;1628654;0.028585;2996180;24
8;1000;0.001277;561240;0.011232;1662344;0.020178;2145177;24
8;1000;0.003411;559750;0.001486;572526;0.051891;5007124;24
8;1000;0.001387;490909;0.00139;1313369;0.072539;6184483;24
8;1000;0.003321;703384;0.006597;979137;0.032817;3507479;24
8;1000;0.003304;680767;0.001323;488801;0.026482;2872402;24
8;10000;0.003344;701682;0.001437;484996;0.038075;3990673;24
8;10000;0.004723;700306;0.008629;1016634;0.049081;5375912;24
8;10000;0.002349;590321;0.00138;1528436;0.021201;2168681;24
8;10000;0.002459;561441;0.00868;1019518;0.044409;4725015;24
8;10000;0.007856;1144247;0.001412;1122510;0.021164;2160830;24
8;10000;0.002478;562201;0.006506;979311;0.018028;2099537;24
8;10000;0.002618;565769;0.003514;698194;0.030723;3362161;24
8;10000;0.002479;562522;0.009055;1002553;0.028707;3053127;24
8;10000;0.001336;559054;0.00131;490143;0.02445;2492147;24
8;10000;0.003322;702087;0.001374;557530;0.026477;2864918;24
8;100000;0.006372;973258;0.010638;1378205;0.030715;3319753;24
8;100000;0.004096;602761;0.005234;630723;0.012788;1586833;24
8;100000;0.009575;1208023;0.006354;955949;0.093514;9026765;24
8;100000;0.011309;2067644;0.005594;734909;0.043635;4700210;24
8;100000;0.018774;2371788;0.01571;2500630;0.030693;2647487;24
8;100000;0.008536;1216219;0.004441;684610;0.013806;1824532;24
8;100000;0.008287;1041428;0.005299;676368;0.016362;1770924;24
8;100000;0.012205;1597014;0.008599;1119847;0.013818;1754025;24
8;100000;0.008693;1050906;0.005753;970422;0.013798;1787186;24
8;100000;0.01126;1455946;0.012225;2025841;0.015892;1817818;24
8;1000000;0.031471;2984776;0.037257;3267826;0.045648;4316052;24
8;1000000;0.028166;2552225;0.038191;3137594;0.045537;4265458;24
8;1000000;0.035733;3737689;0.040411;3946059;0.043485;3820542;24
8;1000000;0.02821;2816869;0.041331;3293908;0.115226;12122149;24
8;1000000;0.032296;2852920;0.039029;3710967;0.073657;7050574;24
8;1000000;0.032254;3195797;0.036267;3594021;0.074767;5955662;24
8;1000000;0.030875;2815008;0.032242;2318104;0.089932;7792584;24
8;1000000;0.033131;3487554;0.02795;2210214;0.11832;11374526;24
8;1000000;0.030887;2853026;0.037606;3452006;0.104365;10489849;24
8;1000000;0.033575;2998999;0.027589;2375963;0.086929;8156395;24
8;10000000;0.297616;24140815;0.267018;21115042;0.364894;30791028;24
8;10000000;0.295845;23357518;0.315194;23585520;0.373083;29417829;24
8;10000000;0.287302;21576656;0.262132;21730039;0.391282;33746713;24
8;10000000;0.280372;21871563;0.275725;21167844;0.374103;28628386;24
8;10000000;0.272646;22598783;0.279809;21437856;0.404142;31956986;24
8;10000000;0.286922;22270512;0.265559;21368084;0.386987;32261037;24
8;10000000;0.278789;22322286;0.281029;21821498;0.407001;32516244;24
8;10000000;0.284;22807421;0.261944;21869446;0.374249;29481108;24
8;10000000;0.283328;22701346;0.272551;22922227;0.374371;29433190;24
8;10000000;0.294439;22231695;0.281457;21735820;0.357634;27515725;24
8;100000000;2.95559;276933724;2.94756;237640033;3.18165;267076574;24
8;100000000;2.96012;239827177;2.96032;239079502;3.1496;259113394;24
8;100000000;2.95157;237955037;2.93915;238013425;3.18766;264944303;24
8;100000000;2.97941;240485571;2.94949;240274518;3.16246;261215477;24
8;100000000;2.96569;241003061;2.9726;240708243;3.20767;316805110;24
8;100000000;2.94697;238418545;2.95032;239744894;3.37426;298511989;24
8;100000000;2.95361;241119440;2.98072;248653255;3.11737;258680382;24
8;100000000;2.97408;244741042;3.00728;244763820;3.13035;256618382;24
8;100000000;2.97568;245127098;2.97823;241080714;3.29989;281496449;24
8;100000000;2.96709;240212960;2.9766;241746473;3.13389;262920719;24
