Blocked.Cores;Cores;Input Size;Time;Time MCSTL;Workpakets
0;8;100;0.001552;0.000501;24
0;8;100;0.001555;0.000453;24
0;8;100;0.001644;0.000429;24
0;8;100;0.001743;0.000443;24
0;8;100;0.001428;0.000436;24
0;8;100;0.001386;0.000455;24
0;8;100;0.001428;0.000454;24
0;8;100;0.001479;0.000444;24
0;8;100;0.001577;0.000442;24
0;8;100;0.001407;0.000453;24
0;8;100;0.001781;0.000438;24
0;8;100;0.001409;0.000424;24
0;8;100;0.001648;0.00042;24
0;8;100;0.001533;0.000457;24
0;8;100;0.001266;0.000451;24
0;8;100;0.001604;0.000422;24
0;8;100;0.001426;0.000446;24
0;8;100;0.001394;0.00044;24
0;8;100;0.001736;0.000437;24
0;8;100;0.001316;0.000411;24
0;8;100;0.001255;0.000421;24
0;8;100;0.001302;0.000425;24
0;8;100;0.001398;0.000424;24
0;8;100;0.001569;0.000448;24
0;8;100;0.001483;0.000461;24
0;8;100;0.001555;0.000425;24
0;8;100;0.001554;0.000453;24
0;8;100;0.001434;0.00045;24
0;8;100;0.0013;0.000454;24
0;8;100;0.001479;0.000459;24
0;8;100;0.0014;0.00043;24
0;8;100;0.001479;0.000441;24
0;8;100;0.001444;0.000442;24
0;8;100;0.00173;0.020387;24
0;8;100;0.001475;0.000451;24
0;8;100;0.00147;0.00043;24
0;8;100;0.001413;0.000405;24
0;8;100;0.001587;0.000466;24
0;8;100;0.001426;0.00042;24
0;8;100;0.001694;0.000403;24
0;8;100;0.001377;0.00045;24
0;8;100;0.001459;0.000452;24
0;8;100;0.001619;0.000467;24
0;8;100;0.001436;0.000458;24
0;8;100;0.001199;0.000473;24
0;8;100;0.00156;0.000406;24
0;8;100;0.001463;0.000483;24
0;8;100;0.001495;0.000424;24
0;8;100;0.001642;0.000427;24
0;8;100;0.0016;0.000461;24
1;8;100;0.001455;0.000387;24
1;8;100;0.001225;0.000453;24
1;8;100;0.00147;0.000472;24
1;8;100;0.001293;0.000477;24
1;8;100;0.001333;0.000461;24
1;8;100;0.001343;0.000424;24
1;8;100;0.00152;0.000462;24
1;8;100;0.001331;0.000436;24
1;8;100;0.001207;0.000447;24
1;8;100;0.001415;0.000427;24
1;8;100;0.001531;0.000448;24
1;8;100;0.001155;0.000385;24
1;8;100;0.001419;0.000485;24
1;8;100;0.001324;0.000424;24
1;8;100;0.001318;0.000453;24
1;8;100;0.001427;0.000413;24
1;8;100;0.00144;0.000415;24
1;8;100;0.001351;0.000381;24
1;8;100;0.001371;0.00042;24
1;8;100;0.001489;0.000391;24
1;8;100;0.001184;0.000464;24
1;8;100;0.001287;0.000428;24
1;8;100;0.001212;0.000466;24
1;8;100;0.001369;0.000429;24
1;8;100;0.001457;0.000399;24
1;8;100;0.001455;0.000432;24
1;8;100;0.001225;0.000414;24
1;8;100;0.00129;0.000485;24
1;8;100;0.00142;0.000414;24
1;8;100;0.001163;0.000373;24
1;8;100;0.001448;0.000449;24
1;8;100;0.001547;0.000452;24
1;8;100;0.001334;0.000436;24
1;8;100;0.001452;0.000396;24
1;8;100;0.001407;0.000437;24
1;8;100;0.001548;0.000434;24
1;8;100;0.001208;0.000403;24
1;8;100;0.001265;0.000439;24
1;8;100;0.001408;0.000468;24
1;8;100;0.001302;0.000454;24
1;8;100;0.001477;0.000432;24
1;8;100;0.001095;0.000401;24
1;8;100;0.00139;0.00044;24
1;8;100;0.001384;0.000371;24
1;8;100;0.001279;0.000445;24
1;8;100;0.001528;0.000453;24
1;8;100;0.001236;0.000417;24
1;8;100;0.001324;0.000452;24
1;8;100;0.001224;0.000469;24
1;8;100;0.001196;0.000403;24
2;8;100;0.00123;0.000401;24
2;8;100;0.001419;0.000376;24
2;8;100;0.001323;0.000473;24
2;8;100;0.001184;0.000377;24
2;8;100;0.001356;0.00042;24
2;8;100;0.0013;0.000434;24
2;8;100;0.001203;0.000485;24
2;8;100;0.001272;0.000431;24
2;8;100;0.001361;0.000474;24
2;8;100;0.001216;0.000413;24
2;8;100;0.0012;0.000438;24
2;8;100;0.001175;0.000417;24
2;8;100;0.001458;0.000426;24
2;8;100;0.001233;0.000415;24
2;8;100;0.001242;0.000435;24
2;8;100;0.001347;0.000411;24
2;8;100;0.001306;0.000468;24
2;8;100;0.001226;0.000446;24
2;8;100;0.001212;0.000411;24
2;8;100;0.001217;0.000445;24
2;8;100;0.001181;0.00042;24
2;8;100;0.001246;0.000415;24
2;8;100;0.001162;0.000448;24
2;8;100;0.001263;0.000425;24
2;8;100;0.001275;0.000412;24
2;8;100;0.00144;0.000435;24
2;8;100;0.001353;0.000419;24
2;8;100;0.001202;0.000444;24
2;8;100;0.001149;0.000457;24
2;8;100;0.001197;0.000412;24
2;8;100;0.001213;0.000492;24
2;8;100;0.00105;0.00043;24
2;8;100;0.001292;0.000457;24
2;8;100;0.001281;0.000487;24
2;8;100;0.001121;0.000426;24
2;8;100;0.001217;0.000447;24
2;8;100;0.001237;0.000421;24
2;8;100;0.001324;0.000425;24
2;8;100;0.001159;0.000429;24
2;8;100;0.001273;0.000443;24
2;8;100;0.001286;0.000408;24
2;8;100;0.001116;0.000416;24
2;8;100;0.001255;0.000432;24
2;8;100;0.001185;0.000412;24
2;8;100;0.00132;0.000474;24
2;8;100;0.00136;0.000427;24
2;8;100;0.001343;0.000425;24
2;8;100;0.001402;0.000407;24
2;8;100;0.001224;0.000414;24
2;8;100;0.001162;0.000442;24
3;8;100;0.001247;0.000434;24
3;8;100;0.001149;0.000426;24
3;8;100;0.001081;0.000417;24
3;8;100;0.00113;0.000409;24
3;8;100;0.001189;0.0004;24
3;8;100;0.000961;0.000443;24
3;8;100;0.001043;0.000444;24
3;8;100;0.001072;0.000474;24
3;8;100;0.001046;0.000452;24
3;8;100;0.001222;0.000425;24
3;8;100;0.00105;0.000486;24
3;8;100;0.001107;0.000515;24
3;8;100;0.001227;0.000451;24
3;8;100;0.001162;0.000446;24
3;8;100;0.001155;0.000477;24
3;8;100;0.001277;0.000423;24
3;8;100;0.001002;0.000414;24
3;8;100;0.00113;0.00049;24
3;8;100;0.001037;0.00045;24
3;8;100;0.001193;0.000452;24
3;8;100;0.001083;0.00045;24
3;8;100;0.001041;0.000465;24
3;8;100;0.000992;0.000467;24
3;8;100;0.001029;0.000417;24
3;8;100;0.001158;0.000404;24
3;8;100;0.000927;0.000462;24
3;8;100;0.001008;0.000486;24
3;8;100;0.001091;0.000479;24
3;8;100;0.001051;0.00041;24
3;8;100;0.001187;0.000457;24
3;8;100;0.001037;0.000456;24
3;8;100;0.001068;0.000488;24
3;8;100;0.001064;0.000424;24
3;8;100;0.001058;0.000475;24
3;8;100;0.001034;0.000424;24
3;8;100;0.00097;0.0005;24
3;8;100;0.001148;0.000375;24
3;8;100;0.001113;0.000443;24
3;8;100;0.00115;0.000476;24
3;8;100;0.000966;0.00048;24
3;8;100;0.00104;0.000485;24
3;8;100;0.00113;0.000467;24
3;8;100;0.001091;0.000511;24
3;8;100;0.00118;0.000475;24
3;8;100;0.001057;0.000428;24
3;8;100;0.001148;0.000448;24
3;8;100;0.00102;0.000433;24
3;8;100;0.001147;0.000416;24
3;8;100;0.001003;0.000443;24
3;8;100;0.000989;0.000437;24
4;8;100;0.000941;0.000409;24
4;8;100;0.000854;0.000424;24
4;8;100;0.000876;0.000419;24
4;8;100;0.000881;0.000442;24
4;8;100;0.00084;0.000397;24
4;8;100;0.000903;0.000408;24
4;8;100;0.000931;0.000437;24
4;8;100;0.000966;0.000388;24
4;8;100;0.000791;0.000389;24
4;8;100;0.001035;0.000421;24
4;8;100;0.000869;0.000423;24
4;8;100;0.000875;0.000409;24
4;8;100;0.000823;0.00038;24
4;8;100;0.000906;0.000439;24
4;8;100;0.000871;0.000392;24
4;8;100;0.000854;0.000405;24
4;8;100;0.000871;0.000414;24
4;8;100;0.000831;0.000398;24
4;8;100;0.000846;0.0004;24
4;8;100;0.000882;0.000402;24
4;8;100;0.000897;0.000395;24
4;8;100;0.000842;0.000496;24
4;8;100;0.000883;0.000394;24
4;8;100;0.000834;0.000385;24
4;8;100;0.000861;0.000404;24
4;8;100;0.000874;0.000386;24
4;8;100;0.001005;0.000401;24
4;8;100;0.000832;0.000452;24
4;8;100;0.000851;0.000392;24
4;8;100;0.000833;0.000487;24
4;8;100;0.000825;0.000415;24
4;8;100;0.000961;0.000399;24
4;8;100;0.000851;0.000401;24
4;8;100;0.001008;0.000442;24
4;8;100;0.000905;0.0004;24
4;8;100;0.000868;0.000378;24
4;8;100;0.000825;0.000407;24
4;8;100;0.000863;0.000398;24
4;8;100;0.000797;0.000379;24
4;8;100;0.001017;0.000383;24
4;8;100;0.000872;0.000402;24
4;8;100;0.000884;0.000428;24
4;8;100;0.000777;0.000399;24
4;8;100;0.000865;0.000401;24
4;8;100;0.001031;0.000414;24
4;8;100;0.000855;0.000424;24
4;8;100;0.000996;0.00041;24
4;8;100;0.000873;0.000399;24
4;8;100;0.000867;0.000378;24
4;8;100;0.00097;0.000433;24
5;8;100;0.000715;0.000425;24
5;8;100;0.000661;0.000429;24
5;8;100;0.000693;0.000422;24
5;8;100;0.000665;0.000422;24
5;8;100;0.000711;0.000449;24
5;8;100;0.000682;0.000446;24
5;8;100;0.000707;0.000403;24
5;8;100;0.000698;0.000429;24
5;8;100;0.000776;0.000434;24
5;8;100;0.000697;0.000442;24
5;8;100;0.000784;0.000438;24
5;8;100;0.000682;0.000428;24
5;8;100;0.000817;0.000429;24
5;8;100;0.000697;0.000401;24
5;8;100;0.000705;0.00044;24
5;8;100;0.000754;0.000445;24
5;8;100;0.000844;0.000446;24
5;8;100;0.000748;0.000439;24
5;8;100;0.000693;0.00045;24
5;8;100;0.000771;0.00044;24
5;8;100;0.000657;0.000471;24
5;8;100;0.000875;0.000367;24
5;8;100;0.000776;0.000433;24
5;8;100;0.000794;0.000461;24
5;8;100;0.000709;0.000449;24
5;8;100;0.000777;0.000431;24
5;8;100;0.000751;0.000335;24
