Cores;Input.Size;Time.MALMS.Info;Loops.MALMS.Info;Time.MALMS.NoInfo;Loops.MALMS.NoInfo;Time.MCSTL;Loops.MCSTL;Workpakets
8;100;0.001951;352532;0.002207;336234;0.014914;1521006;24
8;100;0.002188;331759;0.001778;274736;0.008977;1061898;24
8;100;0.001604;280528;0.002705;334944;0.01825;1378768;24
8;100;0.001732;279372;0.002279;335716;0.018227;1456371;24
8;100;0.002187;330492;0.001763;271069;0.017919;1294777;24
8;100;0.00151;285486;0.001679;272862;0.01796;1426027;24
8;100;0.001642;286340;0.001468;212927;0.018526;1447243;24
8;100;0.001895;356125;0.001745;274889;0.017958;1467862;24
8;100;0.001831;289970;0.0024;339474;0.016713;1380847;24
8;100;0.001443;272392;0.001779;277326;0.027938;2574375;24
8;1000;0.002495;348427;0.001955;222029;0.09617;8705739;24
8;1000;0.001249;265487;0.006584;845151;0.112876;10242733;24
8;1000;0.002079;336454;0.002293;334759;0.016092;1357216;24
8;1000;0.001487;219840;0.001763;323835;0.008035;956419;24
8;1000;0.001375;208994;0.002055;270617;0.018587;1461078;24
8;1000;0.002059;280056;0.007618;1019010;0.013011;1301607;24
8;1000;0.00179;280711;0.002079;273674;0.016096;1182437;24
8;1000;0.00136;207734;0.001549;258787;0.020716;1477402;24
8;1000;0.002815;344637;0.001265;268286;0.018006;1321271;24
8;1000;0.00251;344333;0.003328;385734;0.016705;1321619;24
8;10000;0.002008;285620;0.002088;254040;0.012475;1074637;24
8;10000;0.002041;270861;0.009444;1263205;0.091786;7610101;24
8;10000;0.002802;342494;0.006896;972612;0.021091;1765777;24
8;10000;0.002834;344480;0.001978;277588;0.017057;1345491;24
8;10000;0.002793;342352;0.001598;270074;0.027028;2299415;24
8;10000;0.002088;279995;0.001902;1547266;0.034101;3247372;24
8;10000;0.002215;274782;0.002397;370889;0.026337;3403232;24
8;10000;0.001747;285124;0.001789;269424;0.044478;3842051;24
8;10000;0.001666;279071;0.002421;331689;0.017031;1384021;24
8;10000;0.002246;349110;0.001853;273093;0.058175;4588625;24
8;100000;0.004288;559790;0.003747;287899;0.021422;1827745;24
8;100000;0.004605;445335;0.004008;476038;0.020805;1787064;24
8;100000;0.005388;538436;0.00398;504776;0.04723;4002918;24
8;100000;0.003579;408804;0.003408;335396;0.024207;1889951;24
8;100000;0.0042;483861;0.003686;397312;0.088106;7259648;24
8;100000;0.003491;413397;0.0051;473936;0.023004;1876545;24
8;100000;0.003995;480001;0.003444;356671;0.049092;4012120;24
8;100000;0.004041;495393;0.004643;476357;0.025801;2072112;24
8;100000;0.003983;355294;0.003684;468907;0.022366;1882820;24
8;100000;0.004001;412445;0.004427;409533;0.028303;3360196;24
8;1000000;0.027481;2058023;0.028663;1709398;0.086512;6224876;24
8;1000000;0.026827;1953616;0.038597;3256031;0.044172;3638529;24
8;1000000;0.029725;2123906;0.028423;2077454;0.074918;6358068;24
8;1000000;0.028617;2101780;0.028463;1994956;0.042237;3685326;24
8;1000000;0.027979;2271229;0.027271;1921602;0.104208;8177075;24
8;1000000;0.029576;2122410;0.028143;1970625;0.107324;7992889;24
8;1000000;0.027532;2055932;0.027059;1965237;0.086949;6662603;24
8;1000000;0.032884;2476742;0.029445;1936556;0.087677;7531196;24
8;1000000;0.026512;1958483;0.029501;2581739;0.096845;7632146;24
8;1000000;0.033603;2526966;0.027633;1917388;0.106283;8513541;24
8;10000000;0.267496;22611108;0.265818;21195741;0.409685;32911031;24
8;10000000;0.283418;21599235;0.263432;20427284;0.395323;34620711;24
8;10000000;0.269559;20142894;0.26388;20393446;0.388217;33989954;24
8;10000000;0.277065;21104333;0.263017;20354754;0.400742;31526335;24
8;10000000;0.281463;21591291;0.291575;22238099;0.368751;30135723;24
8;10000000;0.26513;21243458;0.263566;20350113;0.374201;30823044;24
8;10000000;0.302627;20622185;0.263888;20621893;0.451715;37038794;24
8;10000000;0.283122;21913238;0.268809;22082995;0.404949;35253375;24
8;10000000;0.262297;20735587;0.28205;21796854;0.384111;31370698;24
8;10000000;0.273626;20396305;0.281995;20941216;0.399482;32534913;24
8;100000000;2.95087;278334979;2.96014;240903589;3.46046;295373830;24
8;100000000;2.95833;238652159;2.96431;243113505;3.54158;300558790;24
8;100000000;2.93165;236049111;2.98336;243782838;3.3275;293525985;24
8;100000000;2.9731;255390736;2.97263;242801117;3.67643;344362276;24
8;100000000;2.9596;238446449;2.97241;243620798;3.26781;289867968;24
8;100000000;2.95379;236333189;2.98061;242836442;3.20133;278356401;24
8;100000000;2.97094;241321096;2.98167;242490724;3.14536;270915373;24
8;100000000;2.93841;235447933;2.97305;243186164;3.34546;305949873;24
8;100000000;2.97786;242328012;2.98;243677799;3.27811;279457269;24
8;100000000;2.9366;251206125;2.9694;242989747;3.48566;296979678;24
