Cores;Input.Size;Time.MALMS.Info;Loops.MALMS.Info;Time.MALMS.NoInfo;Loops.MALMS.NoInfo;Time.MCSTL;Loops.MCSTL;Workpakets
8;100;0.012647;2148565;0.011442;1648754;0.058078;5466841;100
8;100;0.004826;704072;0.006644;1107816;0.011704;1316294;100
8;100;0.005031;700717;0.004622;696671;0.049915;4007726;100
8;100;0.004936;703407;0.006993;971129;0.015913;1822287;100
8;100;0.006091;848007;0.004717;701698;0.015909;1545879;100
8;100;0.005363;705070;0.004905;699836;0.015901;1654448;100
8;100;0.004602;700659;0.008942;1010097;0.015904;1658349;100
8;100;0.006218;998673;0.011147;1861594;0.088214;8448052;100
8;100;0.003244;562364;0.008816;1281024;0.015912;1668683;100
8;100;0.004885;701025;0.012364;2159611;0.084275;9295622;100
8;1000;0.010284;1696686;0.011935;1695376;0.012745;1472804;100
8;1000;0.008388;1043044;0.009885;1657536;0.039678;4431953;100
8;1000;0.009804;1359256;0.004682;699368;0.012735;1471170;100
8;1000;0.00487;700425;0.009782;1590603;0.061387;5720517;100
8;1000;0.008148;1047458;0.005998;983170;0.081667;8559607;100
8;1000;0.005062;775610;0.003008;696615;0.015913;1726964;100
8;1000;0.0046;703688;0.002952;2413957;0.015904;1656768;100
8;1000;0.005968;983285;0.003133;1567616;0.01178;1370044;100
8;1000;0.004657;702360;0.008944;1212859;0.065729;6427023;100
8;1000;0.009242;1324615;0.013429;2324662;0.109593;11668462;100
8;10000;0.004824;707558;0.009545;1379934;0.011751;1371357;100
8;10000;0.006945;1124557;0.008832;1462766;0.030862;3372891;100
8;10000;0.004768;703908;0.006961;1008194;0.118184;12477225;100
8;10000;0.009688;1416674;0.010783;1398820;0.03071;3578730;100
8;10000;0.004846;742017;0.004775;713372;0.014855;1453308;100
8;10000;0.00725;975269;0.006746;974884;0.074495;7906870;100
8;10000;0.004964;702301;0.004665;727344;0.058145;5533269;100
8;10000;0.005806;703493;0.014763;2568395;0.039291;4996927;100
8;10000;0.004551;704907;0.005765;976602;0.060967;6078178;100
8;10000;0.006201;1027600;0.011141;1896566;0.020454;2635474;100
8;100000;0.008247;1111967;0.009418;1081655;0.012572;1328280;100
8;100000;0.009769;1100657;0.015019;2491481;0.055535;6436626;100
8;100000;0.007432;1117109;0.014033;2257670;0.031819;4075740;100
8;100000;0.010592;1330852;0.008197;1032389;0.012136;1346936;100
8;100000;0.009601;1111761;0.009083;1171338;0.044013;4750062;100
8;100000;0.01246;1602604;0.010179;1309782;0.048211;4701597;100
8;100000;0.010352;1323501;0.013784;1655171;0.076333;7295354;100
8;100000;0.007861;1097973;0.010203;1358185;0.015949;1721722;100
8;100000;0.005372;686114;0.016443;2689463;0.015914;1692289;100
8;100000;0.008187;1105610;0.008158;1046952;0.066365;6727990;100
8;1000000;0.03458;3543007;0.035758;3085673;0.079771;8504500;100
8;1000000;0.038161;4532344;0.042307;4260945;0.084629;7650339;100
8;1000000;0.034553;3461758;0.038144;3401173;0.082065;7535943;100
8;1000000;0.04203;5086576;0.034322;3248908;0.071111;6813322;100
8;1000000;0.029983;3021248;0.046001;3687669;0.055756;4654904;100
8;1000000;0.03055;3176897;0.041927;3480453;0.079514;29309975;100
8;1000000;0.032007;3370518;0.035576;2867007;0.098425;9748536;100
8;1000000;0.03445;3360447;0.040189;2982285;0.076955;7304509;100
8;1000000;0.036794;3778104;0.039748;3314673;0.10889;8844123;100
8;1000000;0.03087;3223064;0.031971;2859606;0.10663;10312673;100
8;10000000;0.270154;21917116;0.26314;20706342;0.370122;30406638;100
8;10000000;0.264267;21937587;0.258026;20107737;0.413177;35642585;100
8;10000000;0.265333;22418833;0.253281;21023441;0.419976;32798988;100
8;10000000;0.264628;21924670;0.27422;21727921;0.361549;28215107;100
8;10000000;0.270557;21949024;0.262751;20891384;0.369098;30984918;100
8;10000000;0.259262;21206295;0.271492;21046980;0.375247;29913357;100
8;10000000;0.264723;21569175;0.275927;21414641;0.438566;35210477;100
8;10000000;0.261425;21914572;0.271299;21864669;0.381591;32925819;100
8;10000000;0.266871;21714044;0.256969;20670308;0.355763;27250508;100
8;10000000;0.262673;21294510;0.271052;21488193;0.371961;29089633;100
8;100000000;2.83951;251514786;2.79969;226672941;3.11962;257164814;100
8;100000000;2.77308;216012293;2.78909;213804073;3.16246;259175954;100
8;100000000;2.85818;221341086;2.78099;212474933;3.10821;255699103;100
8;100000000;2.79327;218157786;2.78514;217807364;3.11776;266668375;100
8;100000000;2.86208;221114788;2.76746;210939145;3.16073;265812520;100
8;100000000;2.78741;212765079;2.78571;211583756;3.16926;270917579;100
8;100000000;2.82069;215646911;2.77109;211637810;3.1673;272512758;100
8;100000000;2.78785;210326988;2.76057;220114403;3.18391;263431676;100
8;100000000;2.77022;221515335;2.80874;215978448;3.22398;291436780;100
8;100000000;2.79316;218503927;2.7533;210073798;3.13341;301713535;100
