Cores;Input Size;Time;Time MCSTL;Workpakets
8;100;0.001523;0.002211;48
8;100;0.001489;0.095082;48
8;100;0.001469;0.087372;48
8;100;0.001839;0.030667;48
8;100;0.009985;0.032958;48
8;100;0.008069;0.07338;48
8;100;0.001668;0.028661;48
8;100;0.001612;0.062905;48
8;100;0.002093;0.066164;48
8;100;0.001438;0.001312;48
8;1000;0.00111;0.092872;48
8;1000;0.001616;0.106372;48
8;1000;0.001851;0.09565;48
8;1000;0.008924;0.082512;48
8;1000;0.001814;0.081009;48
8;1000;0.002793;0.062021;48
8;1000;0.002296;0.087494;48
8;1000;0.001556;0.019887;48
8;1000;0.001081;0.082092;48
8;1000;0.001379;0.09104;48
8;10000;0.001225;0.075233;48
8;10000;0.001185;0.088765;48
8;10000;0.001994;0.110265;48
8;10000;0.006409;0.093324;48
8;10000;0.001886;0.049725;48
8;10000;0.002236;0.070925;48
8;10000;0.006912;0.08295;48
8;10000;0.002018;0.090329;48
8;10000;0.001833;0.068454;48
8;10000;0.001236;0.093728;48
8;100000;0.003853;0.039028;48
8;100000;0.003521;0.105099;48
8;100000;0.004287;0.104689;48
8;100000;0.005619;0.060472;48
8;100000;0.004158;0.063068;48
8;100000;0.003545;0.068056;48
8;100000;0.004157;0.108654;48
8;100000;0.008934;0.089721;48
8;100000;0.003823;0.039622;48
8;100000;0.003885;0.096787;48
8;1000000;0.035387;0.085243;48
8;1000000;0.033452;0.107161;48
8;1000000;0.028315;0.044066;48
8;1000000;0.029269;0.091505;48
8;1000000;0.028262;0.077294;48
8;1000000;0.027263;0.16963;48
8;1000000;0.027994;0.065255;48
8;1000000;0.026041;0.095966;48
8;1000000;0.028531;0.101868;48
8;1000000;0.02776;0.081231;48
8;10000000;0.296924;0.470032;48
8;10000000;0.314886;0.437805;48
8;10000000;0.287616;0.393969;48
8;10000000;0.280275;0.414164;48
8;10000000;0.30437;0.433756;48
8;10000000;0.304775;0.383075;48
8;10000000;0.291925;0.414916;48
8;10000000;0.299939;0.429511;48
8;10000000;0.277371;0.390754;48
8;10000000;0.287177;0.406566;48
8;100000000;2.97986;3.44072;48
8;100000000;3.05355;3.64185;48
8;100000000;3.07147;4.02699;48
8;100000000;2.99199;3.59261;48
8;100000000;3.10102;3.42285;48
8;100000000;2.99518;3.74068;48
8;100000000;2.98641;3.41376;48
8;100000000;3.10714;3.80353;48
8;100000000;3.0178;3.39373;48
8;100000000;2.98822;3.57707;48
