Cores;Input Size;Time;Time MCSTL;Workpakets
8;100;0.004057;0.038171;100
8;100;0.00256;0.008353;100
8;100;0.003278;0.001746;100
8;100;0.006262;0.001761;100
8;100;0.002639;0.001746;100
8;100;0.002859;0.001749;100
8;100;0.004067;0.090137;100
8;100;0.009044;0.038717;100
8;100;0.002495;0.017532;100
8;100;0.00355;0.02797;100
8;1000;0.00252;0.025196;100
8;1000;0.002472;0.003346;100
8;1000;0.003316;0.072082;100
8;1000;0.002665;0.019918;100
8;1000;0.002998;0.058714;100
8;1000;0.012184;0.110556;100
8;1000;0.002534;0.078339;100
8;1000;0.003737;0.043305;100
8;1000;0.002693;0.040752;100
8;1000;0.002541;0.069206;100
8;10000;0.005927;0.108956;100
8;10000;0.002713;0.03162;100
8;10000;0.010752;0.101622;100
8;10000;0.003161;0.089224;100
8;10000;0.003086;0.126577;100
8;10000;0.004041;0.089331;100
8;10000;0.009327;0.112674;100
8;10000;0.002656;0.049919;100
8;10000;0.003468;0.085007;100
8;10000;0.003994;0.086668;100
8;100000;0.005455;0.090905;100
8;100000;0.0054;0.066356;100
8;100000;0.005011;0.048861;100
8;100000;0.005133;0.077636;100
8;100000;0.004878;0.113713;100
8;100000;0.005161;0.040783;100
8;100000;0.005401;0.098025;100
8;100000;0.01269;0.116776;100
8;100000;0.005243;0.049929;100
8;100000;0.004865;0.061626;100
8;1000000;0.030484;0.144955;100
8;1000000;0.028979;0.120949;100
8;1000000;0.029951;0.070718;100
8;1000000;0.034704;0.127052;100
8;1000000;0.029262;0.102294;100
8;1000000;0.029551;0.089415;100
8;1000000;0.029782;0.079579;100
8;1000000;0.031287;0.09051;100
8;1000000;0.032977;0.130472;100
8;1000000;0.031014;0.095838;100
8;10000000;0.289692;0.475271;100
8;10000000;0.290203;0.390501;100
8;10000000;0.291732;0.377365;100
8;10000000;0.287975;0.393416;100
8;10000000;0.285928;0.425633;100
8;10000000;0.286081;0.450648;100
8;10000000;0.291728;0.399873;100
8;10000000;0.28826;0.429124;100
8;10000000;0.292412;0.469732;100
8;10000000;0.289245;0.435813;100
8;100000000;3.09755;3.74184;100
8;100000000;3.0848;3.56929;100
8;100000000;3.0729;3.52979;100
8;100000000;3.02681;3.49996;100
8;100000000;3.1055;3.91866;100
8;100000000;3.09016;3.74434;100
8;100000000;3.14347;3.71388;100
8;100000000;3.11965;3.58364;100
8;100000000;3.06348;3.43747;100
8;100000000;3.12162;3.42021;100
