Blocked.Cores;Cores;Input Size;Time;Time MCSTL;Workpakets
0;8;100;0.002551;0.002241;48
0;8;100;0.00225;0.002171;48
0;8;100;0.002164;0.002207;48
0;8;100;0.002079;0.002143;48
0;8;100;0.002509;0.002151;48
0;8;100;0.00235;0.002112;48
0;8;100;0.002707;0.002152;48
0;8;100;0.002542;0.002091;48
0;8;100;0.002411;0.002198;48
0;8;100;0.002155;0.002123;48
0;8;100;0.001737;0.002106;48
0;8;100;0.002365;0.002244;48
0;8;100;0.002263;0.002134;48
0;8;100;0.002066;0.00218;48
0;8;100;0.002146;0.002213;48
0;8;100;0.002972;0.002126;48
0;8;100;0.002446;0.00214;48
0;8;100;0.00223;0.002072;48
0;8;100;0.002104;0.002063;48
0;8;100;0.002003;0.002071;48
0;8;100;0.002569;0.002061;48
0;8;100;0.001913;0.002113;48
0;8;100;0.002075;0.00206;48
0;8;100;0.002138;0.002106;48
0;8;100;0.00251;0.002166;48
0;8;100;0.002083;0.002118;48
0;8;100;0.002204;0.002074;48
0;8;100;0.002019;0.002143;48
0;8;100;0.002068;0.002135;48
0;8;100;0.002026;0.002104;48
0;8;100;0.002463;0.002239;48
0;8;100;0.002441;0.002107;48
0;8;100;0.002193;0.002165;48
0;8;100;0.002132;0.002083;48
0;8;100;0.001844;0.002201;48
0;8;100;0.002358;0.002203;48
0;8;100;0.002882;0.002158;48
0;8;100;0.002139;0.002301;48
0;8;100;0.002013;0.002233;48
0;8;100;0.002017;0.002079;48
0;8;100;0.002435;0.002253;48
0;8;100;0.002184;0.00246;48
0;8;100;0.002241;0.002116;48
0;8;100;0.002227;0.002167;48
0;8;100;0.002528;0.002106;48
0;8;100;0.002106;0.002097;48
0;8;100;0.002364;0.002082;48
0;8;100;0.002209;0.002109;48
0;8;100;0.002008;0.00218;48
0;8;100;0.002313;0.002044;48
1;8;100;0.002042;0.002138;48
1;8;100;0.001938;0.002142;48
1;8;100;0.002091;0.002205;48
1;8;100;0.001846;0.002114;48
1;8;100;0.001867;0.002127;48
1;8;100;0.001983;0.002078;48
1;8;100;0.001669;0.002134;48
1;8;100;0.002178;0.002145;48
1;8;100;0.001939;0.002121;48
1;8;100;0.001972;0.002106;48
1;8;100;0.001966;0.002194;48
1;8;100;0.002183;0.002057;48
1;8;100;0.002282;0.00214;48
1;8;100;0.002203;0.002121;48
1;8;100;0.002002;0.00209;48
1;8;100;0.00215;0.002199;48
1;8;100;0.001638;0.002207;48
1;8;100;0.001759;0.002197;48
1;8;100;0.00186;0.002103;48
1;8;100;0.002091;0.002112;48
1;8;100;0.002088;0.002082;48
1;8;100;0.00192;0.002106;48
1;8;100;0.002296;0.002131;48
1;8;100;0.001963;0.002066;48
1;8;100;0.002002;0.002191;48
1;8;100;0.001717;0.002073;48
1;8;100;0.00187;0.002189;48
1;8;100;0.002064;0.002099;48
1;8;100;0.001927;0.00214;48
1;8;100;0.001992;0.002114;48
1;8;100;0.001725;0.002112;48
1;8;100;0.001583;0.00211;48
1;8;100;0.001813;0.002131;48
1;8;100;0.002254;0.002323;48
1;8;100;0.001803;0.00221;48
1;8;100;0.002222;0.002122;48
1;8;100;0.00192;0.002104;48
1;8;100;0.001698;0.002125;48
1;8;100;0.001829;0.002073;48
1;8;100;0.001791;0.002059;48
1;8;100;0.001945;0.002044;48
1;8;100;0.001768;0.002175;48
1;8;100;0.001693;0.002195;48
1;8;100;0.002012;0.002129;48
1;8;100;0.002153;0.002141;48
1;8;100;0.001868;0.002128;48
1;8;100;0.001855;0.002182;48
1;8;100;0.001669;0.002179;48
1;8;100;0.001847;0.002211;48
1;8;100;0.001769;0.00208;48
2;8;100;0.001902;0.002108;48
2;8;100;0.001668;0.002061;48
2;8;100;0.002596;0.002052;48
2;8;100;0.001801;0.002343;48
2;8;100;0.001689;0.002144;48
2;8;100;0.001604;0.002209;48
2;8;100;0.001841;0.002293;48
2;8;100;0.001594;0.00245;48
2;8;100;0.002023;0.002262;48
2;8;100;0.001704;0.002159;48
2;8;100;0.001826;0.002288;48
2;8;100;0.00176;0.002076;48
2;8;100;0.001727;0.002286;48
2;8;100;0.001998;0.002639;48
2;8;100;0.001601;0.002126;48
2;8;100;0.00167;0.002175;48
2;8;100;0.001723;0.002339;48
2;8;100;0.002008;0.002107;48
2;8;100;0.001812;0.002176;48
2;8;100;0.001989;0.002523;48
2;8;100;0.001635;0.002181;48
2;8;100;0.001743;0.002265;48
2;8;100;0.001918;0.00254;48
2;8;100;0.001639;0.002199;48
2;8;100;0.001646;0.002289;48
2;8;100;0.001845;0.002117;48
2;8;100;0.00184;0.00229;48
2;8;100;0.001769;0.002488;48
2;8;100;0.001873;0.002275;48
2;8;100;0.002072;0.002521;48
2;8;100;0.001773;0.002122;48
2;8;100;0.001589;0.002694;48
2;8;100;0.001957;0.002137;48
2;8;100;0.001734;0.002273;48
2;8;100;0.001619;0.0021;48
2;8;100;0.001785;0.00229;48
2;8;100;0.001835;0.002285;48
2;8;100;0.001873;0.002147;48
2;8;100;0.001938;0.002247;48
2;8;100;0.002106;0.002255;48
2;8;100;0.001873;0.002188;48
2;8;100;0.001774;0.002143;48
2;8;100;0.001904;0.002374;48
2;8;100;0.001894;0.002196;48
2;8;100;0.001768;0.00216;48
2;8;100;0.001582;0.002286;48
2;8;100;0.001655;0.00213;48
2;8;100;0.001547;0.002333;48
2;8;100;0.001866;0.0022;48
2;8;100;0.001804;0.00231;48
3;8;100;0.001637;0.002163;48
3;8;100;0.001725;0.002071;48
3;8;100;0.001568;0.002037;48
3;8;100;0.001508;0.002049;48
3;8;100;0.001752;0.002006;48
3;8;100;0.001523;0.002413;48
3;8;100;0.001559;0.002039;48
3;8;100;0.001644;0.002086;48
3;8;100;0.001751;0.002019;48
3;8;100;0.001536;0.002033;48
3;8;100;0.001493;0.002086;48
3;8;100;0.001653;0.002014;48
3;8;100;0.001543;0.002494;48
3;8;100;0.001758;0.001999;48
3;8;100;0.001672;0.002032;48
3;8;100;0.001628;0.0021;48
3;8;100;0.001476;0.002012;48
3;8;100;0.001528;0.002095;48
3;8;100;0.001532;0.002026;48
3;8;100;0.001669;0.00202;48
3;8;100;0.001581;0.002053;48
3;8;100;0.001428;0.002019;48
3;8;100;0.001689;0.00231;48
3;8;100;0.00155;0.002014;48
3;8;100;0.001493;0.002273;48
3;8;100;0.001691;0.002071;48
3;8;100;0.001611;0.002088;48
3;8;100;0.001472;0.002115;48
3;8;100;0.001685;0.00206;48
3;8;100;0.001554;0.002214;48
3;8;100;0.0015;0.002014;48
3;8;100;0.001444;0.002065;48
3;8;100;0.00165;0.002056;48
3;8;100;0.001741;0.002018;48
3;8;100;0.001719;0.00202;48
3;8;100;0.001534;0.002027;48
3;8;100;0.001716;0.002081;48
3;8;100;0.001585;0.002017;48
3;8;100;0.001619;0.00206;48
3;8;100;0.001591;0.002036;48
3;8;100;0.001499;0.002056;48
3;8;100;0.001542;0.002039;48
3;8;100;0.00161;0.002029;48
3;8;100;0.001548;0.00206;48
3;8;100;0.001534;0.002012;48
3;8;100;0.001468;0.002015;48
3;8;100;0.001537;0.002145;48
3;8;100;0.001582;0.002045;48
3;8;100;0.001621;0.002101;48
3;8;100;0.001702;0.002025;48
4;8;100;0.001262;0.002218;48
4;8;100;0.002463;0.002143;48
4;8;100;0.001304;0.002148;48
4;8;100;0.001294;0.002199;48
4;8;100;0.001244;0.002158;48
4;8;100;0.001277;0.002101;48
4;8;100;0.001295;0.002085;48
4;8;100;0.001463;0.002296;48
4;8;100;0.001176;0.002099;48
4;8;100;0.001272;0.002204;48
4;8;100;0.001349;0.002156;48
4;8;100;0.001251;0.002101;48
4;8;100;0.001345;0.002116;48
4;8;100;0.001071;0.002062;48
4;8;100;0.001379;0.002229;48
4;8;100;0.001319;0.002161;48
4;8;100;0.001203;0.002166;48
4;8;100;0.001429;0.002075;48
4;8;100;0.001372;0.002255;48
4;8;100;0.001209;0.002101;48
4;8;100;0.001351;0.002123;48
4;8;100;0.001099;0.002067;48
4;8;100;0.001282;0.002072;48
4;8;100;0.001194;0.00221;48
4;8;100;0.001137;0.002157;48
4;8;100;0.001197;0.00248;48
4;8;100;0.001382;0.002076;48
4;8;100;0.001388;0.002081;48
4;8;100;0.001177;0.002071;48
4;8;100;0.001492;0.00212;48
4;8;100;0.001272;0.002273;48
