Cores;Input Size;Time;Time MCSTL;Workpakets
8;100;0.001618;0.032633;24
8;100;0.006729;0.11573;24
8;100;0.000805;0.023058;24
8;100;0.001335;0.023028;24
8;100;0.000774;0.023475;24
8;100;0.001141;0.031895;24
8;100;0.008381;0.069579;24
8;100;0.001075;0.039108;24
8;100;0.00078;0.103166;24
8;100;0.001889;0.038091;24
8;1000;0.0008;0.087754;24
8;1000;0.002159;0.001651;24
8;1000;0.001014;0.023477;24
8;1000;0.00075;0.085011;24
8;1000;0.00786;0.043838;24
8;1000;0.001455;0.080647;24
8;1000;0.000889;0.081153;24
8;1000;0.00078;0.100805;24
8;1000;0.001254;0.090853;24
8;1000;0.000781;0.091207;24
8;10000;0.012077;0.060579;24
8;10000;0.003084;0.010641;24
8;10000;0.000759;0.038584;24
8;10000;0.009578;0.023171;24
8;10000;0.008492;0.094646;24
8;10000;0.00082;0.099117;24
8;10000;0.001812;0.073168;24
8;10000;0.000754;0.06466;24
8;10000;0.000734;0.118436;24
8;10000;0.001018;0.079661;24
8;100000;0.003333;0.061699;24
8;100000;0.012659;0.109521;24
8;100000;0.002789;0.077787;24
8;100000;0.002961;0.097533;24
8;100000;0.003902;0.087176;24
8;100000;0.007893;0.071269;24
8;100000;0.008892;0.006813;24
8;100000;0.005977;0.107685;24
8;100000;0.003665;0.105127;24
8;100000;0.00469;0.067246;24
8;1000000;0.039192;0.091495;24
8;1000000;0.025127;0.133165;24
8;1000000;0.029554;0.138081;24
8;1000000;0.03635;0.132624;24
8;1000000;0.026919;0.105684;24
8;1000000;0.029451;0.108354;24
8;1000000;0.029374;0.109421;24
8;1000000;0.034787;0.123243;24
8;1000000;0.026878;0.085714;24
8;1000000;0.027842;0.097684;24
8;10000000;0.271722;0.404655;24
8;10000000;0.277731;0.378244;24
8;10000000;0.285904;0.456916;24
8;10000000;0.27092;0.40134;24
8;10000000;0.287239;0.391842;24
8;10000000;0.294689;0.455413;24
8;10000000;0.34389;0.442942;24
8;10000000;0.267302;0.406123;24
8;10000000;0.27465;0.437941;24
8;10000000;0.267133;0.430022;24
8;100000000;3.01107;3.5614;24
8;100000000;2.94643;3.82573;24
8;100000000;2.94412;3.48357;24
8;100000000;2.96047;3.38805;24
8;100000000;2.96551;3.52628;24
8;100000000;3.10042;3.44024;24
8;100000000;3.06075;3.5504;24
8;100000000;3.08384;3.54976;24
8;100000000;3.02808;3.4508;24
8;100000000;2.98433;3.52164;24
