Cores;Input Size;Time;Time MCSTL;Workpakets
8;100;0.005333;0.050819;100
8;100;0.009427;0.058685;100
8;100;0.002653;0.102734;100
8;100;0.003274;0.017235;100
8;100;0.003064;0.044086;100
8;100;0.004405;0.097685;100
8;100;0.003955;0.04306;100
8;100;0.003305;0.033023;100
8;100;0.002868;0.029951;100
8;100;0.003932;0.036468;100
8;1000;0.002481;0.085652;100
8;1000;0.003913;0.139962;100
8;1000;0.009641;0.069708;100
8;1000;0.003117;0.139517;100
8;1000;0.003439;0.042312;100
8;1000;0.002712;0.033554;100
8;1000;0.003331;0.099279;100
8;1000;0.009191;0.089978;100
8;1000;0.002511;0.089742;100
8;1000;0.003384;0.107736;100
8;10000;0.004051;0.009955;100
8;10000;0.003268;0.120465;100
8;10000;0.003483;0.096727;100
8;10000;0.010883;0.091673;100
8;10000;0.003072;0.081123;100
8;10000;0.003069;0.114799;100
8;10000;0.005812;0.099561;100
8;10000;0.003914;0.107448;100
8;10000;0.002666;0.107762;100
8;10000;0.002612;0.140219;100
8;100000;0.010798;0.025995;100
8;100000;0.004859;0.097232;100
8;100000;0.004521;0.027063;100
8;100000;0.004808;0.111971;100
8;100000;0.004768;0.094854;100
8;100000;0.004955;0.050679;100
8;100000;0.004384;0.06794;100
8;100000;0.00445;0.096353;100
8;100000;0.004838;0.068245;100
8;100000;0.004837;0.052529;100
8;1000000;0.0372;0.113363;100
8;1000000;0.027427;0.120719;100
8;1000000;0.027227;0.109001;100
8;1000000;0.032534;0.149418;100
8;1000000;0.03032;0.091832;100
8;1000000;0.027929;0.124836;100
8;1000000;0.031119;0.080237;100
8;1000000;0.036445;0.128643;100
8;1000000;0.028963;0.077343;100
8;1000000;0.02945;0.109333;100
8;10000000;0.278444;0.444442;100
8;10000000;0.292258;0.425128;100
8;10000000;0.278894;0.378809;100
8;10000000;0.281682;0.472863;100
8;10000000;0.283101;0.425346;100
8;10000000;0.295144;0.424422;100
8;10000000;0.278073;0.453614;100
8;10000000;0.283271;0.426637;100
8;10000000;0.285968;0.441564;100
8;10000000;0.278491;0.452263;100
8;100000000;3.09257;3.39784;100
8;100000000;3.08166;3.92864;100
8;100000000;3.07782;3.70827;100
8;100000000;3.11429;3.63333;100
8;100000000;3.07271;3.912;100
8;100000000;3.1088;3.43884;100
8;100000000;3.09599;3.47163;100
8;100000000;3.08965;3.6099;100
8;100000000;3.07665;3.93169;100
8;100000000;3.09358;3.82951;100
