Cores;Input Size;Time;Time MCSTL;Workpakets
8;100;0.001472;0.116659;48
8;100;0.001247;0.009562;48
8;100;0.000989;0.009563;48
8;100;0.001443;0.102049;48
8;100;0.001139;0.078495;48
8;100;0.00189;0.077061;48
8;100;0.001531;0.129511;48
8;100;0.001422;0.082765;48
8;100;0.006957;0.125298;48
8;100;0.001138;0.014841;48
8;1000;0.001345;0.092251;48
8;1000;0.003237;0.045235;48
8;1000;0.003009;0.092864;48
8;1000;0.001323;0.082562;48
8;1000;0.003392;0.096166;48
8;1000;0.007007;0.093698;48
8;1000;0.001265;0.069017;48
8;1000;0.003736;0.078871;48
8;1000;0.001356;0.082214;48
8;1000;0.00324;0.014821;48
8;10000;0.001955;0.0708;48
8;10000;0.001147;0.082786;48
8;10000;0.003244;0.108224;48
8;10000;0.0044;0.093044;48
8;10000;0.001236;0.114165;48
8;10000;0.001581;0.103946;48
8;10000;0.001387;0.094853;48
8;10000;0.007048;0.104601;48
8;10000;0.003267;0.084985;48
8;10000;0.001403;0.118393;48
8;100000;0.015404;0.126855;48
8;100000;0.007532;0.120658;48
8;100000;0.003364;0.068987;48
8;100000;0.005103;0.047065;48
8;100000;0.004306;0.099167;48
8;100000;0.003588;0.040844;48
8;100000;0.005261;0.020146;48
8;100000;0.013328;0.031847;48
8;100000;0.005278;0.048758;48
8;100000;0.009107;0.071645;48
8;1000000;0.03586;0.115947;48
8;1000000;0.03687;0.057976;48
8;1000000;0.025801;0.082464;48
8;1000000;0.038758;0.106282;48
8;1000000;0.025677;0.123892;48
8;1000000;0.037504;0.070517;48
8;1000000;0.037973;0.054707;48
8;1000000;0.038558;0.068826;48
8;1000000;0.039842;0.087827;48
8;1000000;0.025942;0.083599;48
8;10000000;0.267434;0.410749;48
8;10000000;0.283042;0.440305;48
8;10000000;0.289858;0.382691;48
8;10000000;0.272631;0.394699;48
8;10000000;0.278849;0.401038;48
8;10000000;0.290377;0.371825;48
8;10000000;0.279266;0.39537;48
8;10000000;0.268497;0.404241;48
8;10000000;0.272948;0.379925;48
8;10000000;0.292063;0.379316;48
8;100000000;2.99187;3.43099;48
8;100000000;2.98473;3.24383;48
8;100000000;3.09272;3.23336;48
8;100000000;2.9893;3.21399;48
8;100000000;2.98394;3.25088;48
8;100000000;3.00109;3.30651;48
8;100000000;2.98912;3.25689;48
8;100000000;3.02413;3.3198;48
8;100000000;2.97827;3.39527;48
8;100000000;2.99512;3.11638;48
