Cores;Input Size;Time;Time MCSTL;Workpakets
8;100;0.002126;0.094263;48
8;100;0.00907;0.101609;48
8;100;0.002439;0.070232;48
8;100;0.009731;0.081334;48
8;100;0.009491;0.081147;48
8;100;0.010829;0.091069;48
8;100;0.001862;0.091775;48
8;100;0.002151;0.118513;48
8;100;0.011258;0.085957;48
8;100;0.002451;0.098133;48
8;1000;0.001047;0.106701;48
8;1000;0.008826;0.10221;48
8;1000;0.00182;0.061991;48
8;1000;0.008737;0.113092;48
8;1000;0.009601;0.081682;48
8;1000;0.001541;0.064797;48
8;1000;0.001379;0.096698;48
8;1000;0.007265;0.082236;48
8;1000;0.001914;0.113254;48
8;1000;0.001307;0.093452;48
8;10000;0.008868;0.002396;48
8;10000;0.001544;0.108887;48
8;10000;0.002611;0.10026;48
8;10000;0.006969;0.034432;48
8;10000;0.001134;0.136589;48
8;10000;0.002205;0.017478;48
8;10000;0.009396;0.111669;48
8;10000;0.006878;0.035504;48
8;10000;0.002198;0.115544;48
8;10000;0.001653;0.104463;48
8;100000;0.003429;0.067372;48
8;100000;0.007159;0.05362;48
8;100000;0.003198;0.04554;48
8;100000;0.003398;0.111812;48
8;100000;0.003177;0.095885;48
8;100000;0.003355;0.047668;48
8;100000;0.006739;0.08923;48
8;100000;0.003731;0.093958;48
8;100000;0.004396;0.114898;48
8;100000;0.003051;0.097317;48
8;1000000;0.026912;0.17979;48
8;1000000;0.043004;0.111371;48
8;1000000;0.028197;0.126544;48
8;1000000;0.033733;0.104706;48
8;1000000;0.027394;0.138606;48
8;1000000;0.025755;0.151889;48
8;1000000;0.027715;0.115559;48
8;1000000;0.028707;0.113556;48
8;1000000;0.029133;0.072307;48
8;1000000;0.035709;0.093168;48
8;10000000;0.311473;0.395952;48
8;10000000;0.307452;0.39857;48
8;10000000;0.295656;0.416868;48
8;10000000;0.286392;0.441556;48
8;10000000;0.293291;0.387509;48
8;10000000;0.299052;0.42373;48
8;10000000;0.314684;0.469724;48
8;10000000;0.311882;0.432974;48
8;10000000;0.317761;0.384019;48
8;10000000;0.298702;0.493881;48
8;100000000;2.96416;3.76507;48
8;100000000;3.01497;3.98021;48
8;100000000;2.99905;3.32043;48
8;100000000;3.01085;3.27572;48
8;100000000;2.99808;3.66029;48
8;100000000;3.00542;3.57049;48
8;100000000;2.99488;3.48197;48
8;100000000;2.99304;3.30653;48
8;100000000;3.00161;3.91101;48
8;100000000;3.00784;3.6686;48
