Blocked.Cores;Cores;Input Size;Time;Time MCSTL;Workpakets
0;8;100;0.001808;0.000387;48
0;8;100;0.001347;0.000405;48
0;8;100;0.001336;0.000363;48
0;8;100;0.00172;0.000396;48
0;8;100;0.001524;0.000353;48
0;8;100;0.002114;0.0004;48
0;8;100;0.001261;0.000356;48
0;8;100;0.001696;0.000334;48
0;8;100;0.001516;0.0004;48
0;8;100;0.001677;0.000401;48
0;8;100;0.00143;0.000371;48
0;8;100;0.001915;0.000363;48
0;8;100;0.00171;0.000384;48
0;8;100;0.001491;0.000379;48
0;8;100;0.001439;0.000351;48
0;8;100;0.001765;0.000407;48
0;8;100;0.001809;0.000389;48
0;8;100;0.001402;0.000358;48
0;8;100;0.001554;0.000403;48
0;8;100;0.001681;0.000446;48
0;8;100;0.001632;0.00473;48
0;8;100;0.002051;0.000385;48
0;8;100;0.00142;0.000415;48
0;8;100;0.001844;0.000379;48
0;8;100;0.001609;0.000392;48
0;8;100;0.001564;0.00039;48
0;8;100;0.001657;0.000417;48
0;8;100;0.001756;0.000387;48
0;8;100;0.001702;0.000408;48
0;8;100;0.001272;0.000374;48
0;8;100;0.001385;0.00041;48
0;8;100;0.001228;0.000386;48
0;8;100;0.001456;0.000377;48
0;8;100;0.001493;0.000399;48
0;8;100;0.001432;0.000406;48
0;8;100;0.001335;0.000339;48
0;8;100;0.001268;0.000392;48
0;8;100;0.001648;0.00043;48
0;8;100;0.001986;0.000375;48
0;8;100;0.00138;0.00039;48
0;8;100;0.001816;0.00042;48
0;8;100;0.001441;0.000392;48
0;8;100;0.00161;0.000382;48
0;8;100;0.001365;0.000383;48
0;8;100;0.001605;0.000398;48
0;8;100;0.00167;0.000361;48
0;8;100;0.001872;0.000394;48
0;8;100;0.001562;0.000414;48
0;8;100;0.001671;0.000392;48
0;8;100;0.001808;0.000391;48
1;8;100;0.001794;0.087639;48
1;8;100;0.001566;0.056976;48
1;8;100;0.00121;0.077433;48
1;8;100;0.001664;0.051603;48
1;8;100;0.001445;0.118054;48
1;8;100;0.001393;0.092876;48
1;8;100;0.00134;0.06336;48
1;8;100;0.001162;0.062207;48
1;8;100;0.001396;0.051802;48
1;8;100;0.001365;0.106807;48
1;8;100;0.001191;0.062826;48
1;8;100;0.001381;0.086805;48
1;8;100;0.001208;0.086182;48
1;8;100;0.001241;0.106808;48
1;8;100;0.00176;0.116811;48
1;8;100;0.001332;0.091481;48
1;8;100;0.001331;0.105557;48
1;8;100;0.001599;0.076812;48
1;8;100;0.001114;0.065585;48
1;8;100;0.001405;0.086803;48
1;8;100;0.001635;0.084266;48
1;8;100;0.001323;0.062734;48
1;8;100;0.001403;0.072853;48
1;8;100;0.001486;0.09287;48
1;8;100;0.001179;0.052992;48
1;8;100;0.00108;0.0931;48
1;8;100;0.001547;0.061478;48
1;8;100;0.001601;0.042495;48
1;8;100;0.001373;0.05281;48
1;8;100;0.00141;0.089851;48
1;8;100;0.001459;0.078681;48
1;8;100;0.001597;0.092606;48
1;8;100;0.001382;0.09338;48
1;8;100;0.001385;0.092499;48
1;8;100;0.001216;0.092876;48
1;8;100;0.001428;0.109987;48
1;8;100;0.001288;0.078684;48
1;8;100;0.001618;0.081306;48
1;8;100;0.001303;0.074534;48
1;8;100;0.001233;0.093266;48
1;8;100;0.00157;0.081379;48
1;8;100;0.001433;0.120362;48
1;8;100;0.001377;0.129309;48
1;8;100;0.00134;0.110848;48
1;8;100;0.001408;0.073794;48
1;8;100;0.00164;0.062742;48
1;8;100;0.001274;0.072791;48
1;8;100;0.001345;0.089289;48
1;8;100;0.001553;0.068682;48
1;8;100;0.001279;0.072999;48
2;8;100;0.00126;0.128205;48
2;8;100;0.001171;0.096189;48
2;8;100;0.001089;0.087435;48
2;8;100;0.001238;0.137424;48
2;8;100;0.001448;0.104433;48
2;8;100;0.001504;0.112202;48
2;8;100;0.001263;0.123365;48
2;8;100;0.001513;0.112361;48
2;8;100;0.001295;0.11215;48
2;8;100;0.001276;0.088702;48
2;8;100;0.001478;0.10272;48
2;8;100;0.001318;0.102438;48
2;8;100;0.001397;0.112078;48
2;8;100;0.001499;0.068706;48
2;8;100;0.001515;0.121571;48
2;8;100;0.001378;0.104536;48
2;8;100;0.001232;0.112027;48
2;8;100;0.001438;0.074297;48
2;8;100;0.001218;0.120832;48
2;8;100;0.001339;0.106804;48
2;8;100;0.001383;0.088688;48
2;8;100;0.001101;0.130826;48
2;8;100;0.001398;0.098064;48
2;8;100;0.001212;0.07384;48
2;8;100;0.001246;0.083444;48
2;8;100;0.001289;0.112287;48
2;8;100;0.001338;0.073758;48
2;8;100;0.001216;0.082613;48
2;8;100;0.00094;0.084328;48
2;8;100;0.001334;0.113086;48
2;8;100;0.001198;0.111822;48
2;8;100;0.001285;0.087432;48
2;8;100;0.001527;0.114327;48
2;8;100;0.001086;0.121301;48
2;8;100;0.001202;0.094588;48
2;8;100;0.001374;0.082636;48
2;8;100;0.001283;0.142811;48
2;8;100;0.00123;0.108059;48
2;8;100;0.001231;0.103652;48
2;8;100;0.001124;0.093607;48
2;8;100;0.00096;0.140135;48
2;8;100;0.001383;0.088883;48
2;8;100;0.001278;0.098059;48
2;8;100;0.001244;0.092133;48
2;8;100;0.001507;0.126185;48
2;8;100;0.002815;0.105545;48
2;8;100;0.00142;0.107687;48
2;8;100;0.001309;0.108049;48
2;8;100;0.001226;0.1319;48
2;8;100;0.001102;0.146177;48
3;8;100;0.00101;0.129943;48
3;8;100;0.001259;0.128056;48
3;8;100;0.000892;0.111239;48
3;8;100;0.000973;0.107436;48
3;8;100;0.000986;0.127428;48
3;8;100;0.000931;0.115554;48
3;8;100;0.000923;0.106183;48
3;8;100;0.001055;0.106187;48
3;8;100;0.000881;0.107434;48
3;8;100;0.001034;0.096808;48
3;8;100;0.000942;0.148051;48
3;8;100;0.000957;0.107431;48
3;8;100;0.001065;0.138056;48
3;8;100;0.001041;0.092607;48
3;8;100;0.00096;0.108684;48
3;8;100;0.00088;0.181776;48
3;8;100;0.001165;0.146181;48
