Cores;Input Size;Time;Time MCSTL;Workpakets
8;100000;0.00208;0.002154;8
8;100000;0.00212;0.002053;8
8;100000;0.001871;0.002182;8
8;100000;0.002287;0.002334;8
8;100000;0.002105;0.002181;8
8;100000;0.001943;0.002098;8
8;100000;0.0024;0.002149;8
8;100000;0.003285;0.002212;8
8;100000;0.00251;0.002001;8
8;100000;0.001898;0.002406;8
8;100000;0.001859;0.002362;8
8;100000;0.002143;0.002486;8
8;100000;0.001895;0.002354;8
8;100000;0.002277;0.001981;8
8;100000;0.002216;0.002593;8
8;100000;0.001897;0.002033;8
8;100000;0.002246;0.002243;8
8;100000;0.002003;0.002208;8
8;100000;0.002203;0.002176;8
8;100000;0.0019;0.002095;8
8;100000;0.002297;0.001958;8
8;100000;0.001872;0.002125;8
8;100000;0.001971;0.002135;8
8;100000;0.001888;0.002669;8
8;100000;0.002879;0.002335;8
8;100000;0.001832;0.002295;8
8;100000;0.00225;0.001921;8
8;100000;0.001881;0.002366;8
8;100000;0.002681;0.002421;8
8;100000;0.002143;0.002003;8
8;100000;0.0018;0.11826;8
8;100000;0.001834;0.002282;8
8;100000;0.001934;0.001937;8
8;100000;0.001946;0.002191;8
8;1000000;0.022993;0.033285;8
8;1000000;0.020055;0.017108;8
8;1000000;0.020534;0.018995;8
8;1000000;0.017135;0.023653;8
8;1000000;0.017508;0.01858;8
8;1000000;0.017263;0.018679;8
8;1000000;0.019591;0.017158;8
8;1000000;0.01933;0.019151;8
8;1000000;0.019662;0.018659;8
8;1000000;0.017488;0.01926;8
8;1000000;0.017775;0.017139;8
8;1000000;0.017301;0.018762;8
8;1000000;0.017363;0.017253;8
8;1000000;0.019593;0.020675;8
8;1000000;0.017598;0.018259;8
8;1000000;0.019526;0.021314;8
8;1000000;0.017223;0.02089;8
8;1000000;0.017079;0.019286;8
8;1000000;0.017065;0.020259;8
8;1000000;0.02064;0.017226;8
8;1000000;0.017024;0.017323;8
8;1000000;0.01711;0.022712;8
8;1000000;0.017082;0.01902;8
8;1000000;0.017083;0.021637;8
8;1000000;0.01702;0.017484;8
8;1000000;0.019754;0.018837;8
8;1000000;0.017465;0.01945;8
8;1000000;0.017583;0.019176;8
8;1000000;0.017039;0.021909;8
8;1000000;0.01719;0.020042;8
8;1000000;0.022357;0.020534;8
8;1000000;0.017342;0.018561;8
8;1000000;0.017341;0.018768;8
8;1000000;0.017045;0.017335;8
8;1000000;0.017157;0.018722;8
8;1000000;0.017917;0.018685;8
8;1000000;0.016883;0.01734;8
8;1000000;0.020744;0.019485;8
